"Sponsor IRN","Sponsor Name","School IRN","School Name","First Year of Operation","School County","School Type 1","School Type 2","School Type 3","Percent Minority","Percent Economically Disadvantaged","Percent Student with Disabilities","Percent Limited English Proficient","2013 Attendance Rate","Achievement Component Grade","2013 Performance Index Grade","2013 Indicators Met Grade","Progress Component Grade","2013 Value-Added: Overall Grade","2013 Value-Added: Gifted Grade","2013 Value-Added: Students with Disabilities Grade","2013 Value-Added: Lowest 20% in Achievement Grade","Value-Added: High School Grade","Graduation Rate Component Grade","2012 4 Year Graduation Grade","2012 5 Year Graduation Grade","Gap Closing Component Grade","2013 Annual Measurable Objectives Grade","K-3 Literacy Component Grade","K-3 Literacy Improvement Grade","Prepared for Success Component Grade","2012 Value-Added Component Rating","2011 Value-Added Component Rating","2012 State Designation","2011 State Designation","2012 Performance Index Score","2011 Performance Index Score","2012 Adequate Yearly Progress Rating","2011 Adequate Yearly Progress Rating","Report Card Link",""
"000662","Ohio Council of Community Schools","000222","Wildwood Environmental Academy","FY05","Lucas                         ","Startup","Site Based","General","0.3365109471535053","0.609252505990144","0.270455486354122","0.0","94.3 ","Coming in 2015","C ","F ","Coming in 2015","C ","NR","D ","C ","Coming in 2016","Coming in 2015","D ","NR","Coming in 2015","F ","Coming in 2015","Coming in 2014","Coming in 2015","Met Expected Gains                                                                                                                                                                                                                                             ","Met Expected Gains                                                                                                                                                                                                                                             ","Effective                                                                                                                                                                                                                                                      ","Continuous Improvement                                                                                                                                                                                                                                         ","91.3","85.3","Met                                                                                                                                                                                                                                                            ","Not Met","ILRC",""
"000662","Ohio Council of Community Schools","000236","Ohio Connections Academy, Inc","FY04","Cuyahoga                      ","Startup","ESchool                                                                ","General","0.20634912163664648","0.48372159217256","0.100068490104514","NC","97.0 ","Coming in 2015","C ","D ","Coming in 2015","F ","NR","F ","D ","Coming in 2016","Coming in 2015","F ","F ","Coming in 2015","F ","Coming in 2015","Coming in 2014","Coming in 2015","Below Expected Gains                                                                                                                                                                                                                                           ","Met Expected Gains                                                                                                                                                                                                                                             ","Effective                                                                                                                                                                                                                                                      ","Effective                                                                                                                                                                                                                                                      ","90.7","91.8","Not Met                                                                                                                                                                                                                                                        ","Not Met","ILRC",""
"000662","Ohio Council of Community Schools","000509","Whitehall Preparatory and Fitness Academy","FY05","Franklin                      ","Startup","Site Based","General","0.9467070175370339","0.864007889734004","0.206388123941631","0.0569178945676215","96.4 ","Coming in 2015","D ","F ","Coming in 2015","D ","NR","F ","F ","Coming in 2016","Coming in 2015","NR","NR","Coming in 2015","F ","Coming in 2015","Coming in 2014","Coming in 2015","Met Expected Gains                                                                                                                                                                                                                                             ","Met Expected Gains                                                                                                                                                                                                                                             ","Continuous Improvement                                                                                                                                                                                                                                         ","Continuous Improvement                                                                                                                                                                                                                                         ","87.7","82.4","Met                                                                                                                                                                                                                                                            ","Met ","ILRC",""
"000662","Ohio Council of Community Schools","000510","Springfield Preparatory and Fitness Academy","FY05","Clark                         ","Startup","Site Based","General","0.5577719351333889","0.93446775960765","0.468031748547489","0.0","93.6 ","Coming in 2015","C ","F ","Coming in 2015","C ","NR","F ","D ","Coming in 2016","Coming in 2015","NR","NR","Coming in 2015","F ","Coming in 2015","Coming in 2014","Coming in 2015","Met Expected Gains                                                                                                                                                                                                                                             ","Above Expected Gains                                                                                                                                                                                                                                           ","Effective                                                                                                                                                                                                                                                      ","Excellent                                                                                                                                                                                                                                                      ","94.1","96.7","Met                                                                                                                                                                                                                                                            ","Met ","ILRC",""
"000662","Ohio Council of Community Schools","000511","Northland Preparatory and Fitness Academy","FY05","Franklin                      ","Startup","Site Based","General","0.8622365907397441","0.93299679327659","0.219514578044563","0.206020801058745","97.3 ","Coming in 2015","D ","F ","Coming in 2015","C ","NR","D ","B ","Coming in 2016","Coming in 2015","NR","NR","Coming in 2015","F ","Coming in 2015","Coming in 2014","Coming in 2015","Met Expected Gains                                                                                                                                                                                                                                             ","Met Expected Gains                                                                                                                                                                                                                                             ","Continuous Improvement                                                                                                                                                                                                                                         ","Continuous Improvement                                                                                                                                                                                                                                         ","84.0","86.4","Not Met                                                                                                                                                                                                                                                        ","Met ","ILRC",""
"000662","Ohio Council of Community Schools","000553","Columbus Humanities, Arts and Technology Academy","FY05","Franklin                      ","Startup","Site Based","General","0.9854086428341166","0.889326252566213","0.0594852304925431","0.339096353857378","93.7 ","Coming in 2015","D ","F ","Coming in 2015","A ","NR","NR","B ","Coming in 2016","Coming in 2015","NR","NR","Coming in 2015","F ","Coming in 2015","Coming in 2014","Coming in 2015","Above Expected Gains                                                                                                                                                                                                                                           ","Met Expected Gains                                                                                                                                                                                                                                             ","Continuous Improvement                                                                                                                                                                                                                                         ","Academic Watch                                                                                                                                                                                                                                                 ","77.5","76.5","Not Met                                                                                                                                                                                                                                                        ","Not Met","ILRC",""
"000662","Ohio Council of Community Schools","000557","Columbus Arts & Technology Academy","FY05","Franklin                      ","Startup","Site Based","General","0.9615083640874756","0.68732341035721","0.0844505777507595","0.041739834094922","94.6 ","Coming in 2015","C ","D ","Coming in 2015","A ","NR","A ","A ","Coming in 2016","Coming in 2015","NR","NR","Coming in 2015","F ","Coming in 2015","Coming in 2014","Coming in 2015","Above Expected Gains                                                                                                                                                                                                                                           ","Met Expected Gains                                                                                                                                                                                                                                             ","Effective                                                                                                                                                                                                                                                      ","Continuous Improvement                                                                                                                                                                                                                                         ","86.6","77.6","Met                                                                                                                                                                                                                                                            ","Met ","ILRC",""
"000662","Ohio Council of Community Schools","000558","Columbus Preparatory Academy","FY05","Franklin                      ","Startup","Site Based","General","0.46729439214601315","0.534889305076309","0.043421330194938","0.152023859299101","96.2 ","Coming in 2015","A ","A ","Coming in 2015","A ","NR","NR","NR","Coming in 2016","Coming in 2015","NR","NR","Coming in 2015","A ","Coming in 2015","Coming in 2014","Coming in 2015","Above Expected Gains                                                                                                                                                                                                                                           ","Above Expected Gains                                                                                                                                                                                                                                           ","Excellent with Distinction                                                                                                                                                                                                                                     ","Excellent with Distinction                                                                                                                                                                                                                                     ","111.1","102.2","Met                                                                                                                                                                                                                                                            ","Met ","ILRC",""
"000662","Ohio Council of Community Schools","000575","Hope Academy Northwest Campus","FY05","Cuyahoga                      ","Startup","Site Based","General","0.7745205860381285","0.925907110846337","0.114933778897291","0.106865224556712","92.0 ","Coming in 2015","D ","F ","Coming in 2015","F ","NR","F ","C ","Coming in 2016","Coming in 2015","NR","NR","Coming in 2015","F ","Coming in 2015","Coming in 2014","Coming in 2015","Below Expected Gains                                                                                                                                                                                                                                           ","Met Expected Gains                                                                                                                                                                                                                                             ","Continuous Improvement                                                                                                                                                                                                                                         ","Continuous Improvement                                                                                                                                                                                                                                         ","83.6","82.6","Not Met                                                                                                                                                                                                                                                        ","Not Met","ILRC",""
"000662","Ohio Council of Community Schools","000951","Toledo Preparatory and Fitness Academy","FY06","Lucas                         ","Startup","Site Based","General","0.8060419796353377","0.851709842419609","0.250090611822228","0.0","95.8 ","Coming in 2015","B ","B ","Coming in 2015","A ","NR","NR","NR","Coming in 2016","Coming in 2015","NR","NR","Coming in 2015","A ","Coming in 2015","Coming in 2014","Coming in 2015","Above Expected Gains                                                                                                                                                                                                                                           ","Above Expected Gains                                                                                                                                                                                                                                           ","Excellent                                                                                                                                                                                                                                                      ","Excellent                                                                                                                                                                                                                                                      ","93.0","97.4","Met                                                                                                                                                                                                                                                            ","Met ","ILRC",""
