"Sponsor IRN","Sponsor Name","School IRN","School Name","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005","2005-2006","2006-2007","2007-2008","2008-2009","2009-2010","2010-2011","2011-2012","2012-2013"
"000662","Ohio Council of Community Schools","000222","Wildwood Environmental Academy","NA","NA","NA","NA","NA","NA","79.16","177.65","193.52","156.92","158.70999999999998","155.26","281.03","278.42","291.28"
"000662","Ohio Council of Community Schools","000236","Ohio Connections Academy, Inc","NA","NA","NA","NA","NA","130.11","465.42","831.71","975.65","1061.0","1488.1000000000004","2085.9","2670.3500000000013","2993.8500000000004","3121.99"
"000662","Ohio Council of Community Schools","000509","Whitehall Preparatory and Fitness Academy","NA","NA","NA","NA","NA","NA","54.5","158.6","194.4","220.22","250.73000000000002","277.1","276.46","287.6","276.19"
"000662","Ohio Council of Community Schools","000510","Springfield Preparatory and Fitness Academy","NA","NA","NA","NA","NA","NA","91.36","152.53","189.97","168.42","175.3","162.44000000000003","161.08999999999997","174.01","181.93"
"000662","Ohio Council of Community Schools","000511","Northland Preparatory and Fitness Academy","NA","NA","NA","NA","NA","NA","31.7","110.42","176.93","261.16","262.84999999999997","214.58","246.78","252.67000000000002","241.76"
"000662","Ohio Council of Community Schools                           ","000525","Project Rebuild Community School                            ","NA","NA","NA","NA","NA","NA","55.21","48.84","52.25","60.53","57.97","62.230000000000004","62.5","73.49","73.56"
"000662","Ohio Council of Community Schools","000553","Columbus Humanities, Arts and Technology Academy","NA","NA","NA","NA","NA","NA","226.09","340.4","342.93","409.84","360.85","367.92999999999995","367.48","341.03","303.64"
"000662","Ohio Council of Community Schools","000557","Columbus Arts & Technology Academy","NA","NA","NA","NA","NA","NA","335.76","521.45","602.13","640.35","485.6","384.77","379.76","428.21000000000004","466.08000000000004"
"000662","Ohio Council of Community Schools","000558","Columbus Preparatory Academy","NA","NA","NA","NA","NA","NA","167.44","355.29","488.32","564.8","563.47","610.39","642.1","637.38","588.22"
"000662","Ohio Council of Community Schools","000575","Hope Academy Northwest Campus","NA","NA","NA","NA","NA","NA","332.39","377.96","352.96","342.1","370.15999999999997","393.23","417.51","405.34000000000003","404.08"
