"Sponsor IRN","Sponsor Name","School IRN","School Name","Total Formula Aid Payment FY13 Grade K","Total Formula Aid Payment FY13 Grades 1 -12","Total Formula Aid Payment FY13 Grades K -12","Weighted Special Education FY13","Weighted Vocational Education FY13","WEB_INT_I_AID (Part 1 PBA Total Intervention)","WEB_INT_II_AID (Part 2 PBA Total Intervention)","WEB_INT_III_AID (Part 3PBA Total Intervention)","PBA Total Intervention FY13","PBA All Day Kindergarten FY13","PBA Class Size Reduction FY13","PBA Limited English Proficient FT11","PBA Professional Development FY13","PBA Dropout Provention FY13","PBA Outreach FY13","PBA Guarantee FY13","PBA Total  FY13","Parity Aid FY13","Subsidy for High Performing District FY13","Total Payment FY13"
"000662","Ohio Council of Community Schools","000222","Wildwood Environmental Academy","138918.74","1383597.45","1522516.19","357236.76","0.0","351.65","937.73","13503.36","14792.740000000002","117045.37","90325.77","0.0","3458.02","23051.4","23051.4","0.0","271724.7","155763.51","0.0","2307241.16"
"000662","Ohio Council of Community Schools","000236","Ohio Connections Academy, Inc","412678.14","16982764.64","17395442.78","1780321.08","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","19175763.86"
"000662","Ohio Council of Community Schools","000509","Whitehall Preparatory and Fitness Academy","94399.71","1386563.47","1480963.18","115944.26","0.0","649.2","1731.2","24929.28","27309.68","85247.24","122635.27","0.0","3772.31","19141.27","19207.76","0.0","277313.52999999997","30263.27","0.0","1904484.24"
"000662","Ohio Council of Community Schools","000510","Springfield Preparatory and Fitness Academy","73067.09","891578.16","964645.25","254769.84","0.0","270.5","721.33","7144.45","8136.28","69588.43","65593.72","0.0","2394.49","0.0","9641.4","0.0","155354.31999999998","125014.33","0.0","1499783.74"
"000662","Ohio Council of Community Schools","000511","Northland Preparatory and Fitness Academy","85387.53","1208202.21","1293589.74","148801.15","0.0","771.47","1875.47","27006.72","29653.66","62267.8","96100.52","21059.8","3151.29","17300.2","17300.2","0.0","246833.47000000003","12680.87","0.0","1701905.23"
"000662","Ohio Council of Community Schools                           ","000525","Project Rebuild Community School                            ","0.0","419579.63","419579.63","59448.5","60378.6","121.18","252.47","2774.36","3148.01","0.0","0.0","0.0","645.57","2881.79","2881.79","0.0","9557.16","40075.43","0.0","589039.3200000001"
"000662","Ohio Council of Community Schools","000553","Columbus Humanities, Arts and Technology Academy","148073.51","1435788.22","1583861.73","66592.45","0.0","811.5","2164.0","31161.6","34137.1","122924.49","163290.02","43993.75","4009.53","22039.03","22039.03","0.0","412432.95000000007","15850.01","0.0","2078737.1400000001"
"000662","Ohio Council of Community Schools","000557","Columbus Arts & Technology Academy","171402.5","2315673.37","2487075.87","107014.41","0.0","865.6","2289.51","29623.32","32778.43","153394.16","214591.52","0.0","5884.8","29237.75","29268.65","0.0","465155.31","61904.98","0.0","3121150.5700000003"
"000662","Ohio Council of Community Schools","000558","Columbus Preparatory Academy","323982.11","2707189.76","3031171.8699999996","36991.34","0.0","622.15","1485.95","14542.08","16650.18","280699.72","181171.4","32556.54","4532.39","22310.08","29281.74","0.0","567202.0499999999","128303.57","9999.74","3773668.57"
"000662","Ohio Council of Community Schools","000575","Hope Academy Northwest Campus","139089.85","2026656.26","2165746.11","172613.57","11234.72","919.7","2421.76","34277.76","37619.22","130895.22","167287.76","32042.75","5464.0","30343.43","30366.47","0.0","434018.85","248011.2","0.0","3031624.450000001"
