"Building IRN","Building Name","District IRN","District Name","County","Region","Open/Closed Status (as of 9/1/2014)","Feeder IRN","School Type","Disability Status","Read 3rd Grade 2013-14 % Proficient or above","Math 3rd Grade 2013-14 % Proficient or above","Read 4th Grade 2013-14 % Proficient or above","Math 4th Grade 2013-14 % Proficient or above","Read 5th Grade 2013-14 % Proficient or above","Math 5th Grade 2013-14 % Proficient or above","Science 5th Grade 2013-14 % Proficient or above","Read 6th Grade 2013-14 % Proficient or above","Math 6th Grade 2013-14 % Proficient or above","Read 7th Grade 2013-14 % Proficient or above","Math 7th Grade 2013-14 % Proficient or above","Read 8th Grade 2013-14 % Proficient or above","Math 8th Grade 2013-14 % Proficient or above","Science 8th Grade 2013-14 % Proficient or above","Read OGT 2013-14 % Proficient or above","Math OGT 2013-14 % Proficient or above","Write OGT 2013-14 % Proficient or above","Social Studies OGT 2013-14 % Proficient or above","Science OGT 2013-14 % Proficient or above","Read 11th Grade 2013-14 % at or above Proficient","Math 11th Grade 2013-14 % at or above Proficient","Write 11th Grade 2013-14 % at or above Proficient","Social Studies 11th Grade 2013-14 % at or above Proficient","Science 11th Grade 2013-14 % at or above Proficient","Attendance rate 2013-14","	2013 4-Year Longitudinal Graduation Rate - Class of 2013","	2013 5-Year Longitudinal Graduation Rate - Class of 2012","Enrollment","% of Total Enrollment"
"000059","Ada Elementary School","045187","Ada Exempted Village","Hardin","Region 6","Open","000067","Elementary School","Disabled","--","--","--","--","--","--","--","69.2","46.2","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","63","13.0"
"000059","Ada Elementary School","045187","Ada Exempted Village","Hardin","Region 6","Open","000067","Elementary School","NonDisabled","88.4","91.3",">95.0","87.5","86.4","89.8","86.4","94.0","91.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","420","87.0"
"000067","Ada High School","045187","Ada Exempted Village","Hardin","Region 6","Open","******","High School","Disabled","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","95.0","--","--","50","11.8"
"000067","Ada High School","045187","Ada Exempted Village","Hardin","Region 6","Open","******","High School","NonDisabled","--","--","--","--","--","--","--","--","--",">95.0","93.8",">95.0",">95.0","82.0","94.8","89.7","93.1","89.7","86.2",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","93.9","374","88.2"
"000083","Sandusky Middle School","044743","Sandusky City","Erie","Region 2","Open","033555","Middle School","Disabled","--","--","--","--","--","--","--","--","--","30.0","10.0","53.6","25.0","14.3","--","--","--","--","--","--","--","--","--","--","92.0","--","--","63","15.2"
"000083","Sandusky Middle School","044743","Sandusky City","Erie","Region 2","Open","033555","Middle School","NonDisabled","--","--","--","--","--","--","--","--","--","73.4","71.1","85.5","75.0","59.9","--","--","--","--","--","--","--","--","--","--","93.5","--","--","351","84.8"
"000102","Meigs Primary School","048520","Meigs Local","Meigs","Region 16","Open","000105","Elementary School","Disabled","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","93.1","--","--","57","13.3"
"000102","Meigs Primary School","048520","Meigs Local","Meigs","Region 16","Open","000105","Elementary School","NonDisabled","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","93.5","--","--","372","86.7"
"000105","Meigs Intermediate School","048520","Meigs Local","Meigs","Region 16","Open","062307","Elementary School","Disabled","42.1","47.4","50.0","50.0","10.5","15.8","26.3","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","92.8","--","--","54","14.4"
"000105","Meigs Intermediate School","048520","Meigs Local","Meigs","Region 16","Open","062307","Elementary School","NonDisabled","88.6","79.0","90.8","85.7","71.2","55.0","55.9","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","94.9","--","--","322","85.6"
