"County","IRN","Organization Name","Student
Count","Student Count
At or Above 392","Percentage","Status as of 6/13/2014"
"Montgomery","000138","Pathway School of Discovery","90.0","82.0","0.9111","Open"
"Hamilton","000139","Alliance Academy of Cincinnati","51.0","41.0","0.8039","Open"
"Licking","000162","Newark Digital Academy","NC","NC","NC","Open"
"Lucas","000222","Wildwood Environmental Academy","27.0","22.0","0.8148","Open"
"Cuyahoga","000236","Ohio Connections Academy, Inc","188.0","156.0","0.8298","Open"
"Tuscarawas","000241","Quaker Digital Academy","17.0","12.0","0.7059","Open"
"Allen","000288","Auglaize County Educational Academy","NC","NC","NC","Open"
"Franklin","000296","Summit Academy Community School-Columbus","11.0","7.0","0.6364","Open"
"Montgomery","000297","Summit Academy Community School - Dayton","NC","NC","NC","Open"
"Cuyahoga","000302","Summit Academy Community School-Parma","13.0","9.0","0.6923","Open"
"Lucas","000304","Summit Academy Community School-Toledo","19.0","9.0","0.4737","Open"
"Trumbull","000305","Summit Academy Community School-Warren","17.0","4.0","0.2353","Open"
"Hamilton","000306","Summit Academy Community School - Cincinnati","13.0","6.0","0.4615","Open"
"Seneca","000311","Bridges Community Academy","NC","NC","NC","Open"
"Cuyahoga","000318","Menlo Park Academy","45.0","45.0","1.0","Open"
"Cuyahoga","000319","Constellation Schools: Madison Community Elementary","35.0","27.0","0.7714","Open"
"Lucas","000338","Horizon Science Academy Toledo","37.0","35.0","0.9459","Open"
"Columbiana","000417","Buckeye On-Line School for Success","38.0","28.0","0.7368","Open"
"Franklin","000420","Columbus Bilingual Academy","25.0","16.0","0.64","Open"
"Franklin","000509","Whitehall Preparatory and Fitness Academy","37.0","28.0","0.7568","Open"
"Clark","000510","Springfield Preparatory and Fitness Academy","16.0","15.0","0.9375","Open"
"Franklin","000511","Northland Preparatory and Fitness Academy","35.0","27.0","0.7714","Open"
"Cuyahoga","000543","Pinnacle Academy","77.0","62.0","0.8052","Open"
"Lucas","000546","Winterfield Venture Academy","56.0","37.0","0.6607","Open"
"Franklin","000553","Columbus Humanities, Arts and Technology Academy","43.0","30.0","0.6977","Open"
"Franklin","000556","A+ Arts Academy","42.0","29.0","0.6905","Open"
"Franklin","000557","Columbus Arts & Technology Academy","47.0","40.0","0.8511","Open"
"Franklin","000558","Columbus Preparatory Academy","64.0","64.0","1.0","Open"
"Hamilton","000559","Orion Academy","48.0","41.0","0.8542","Open"
"Cuyahoga","000560","Apex Academy","66.0","34.0","0.5152","Open"
"Cuyahoga","000564","Virtual Schoolhouse, Inc.","22.0","11.0","0.5","Open"
"Cuyahoga","000575","Hope Academy Northwest Campus","34.0","29.0","0.8529","Open"
"Hamilton","000576","King Academy Community School","NC","NC","NC","Open"
"Montgomery","000577","Emerson Academy","91.0","72.0","0.7912","Open"
"Franklin","000585","FCI Academy","35.0","23.0","0.6571","Open"
"Allen","000613","Heir Force Community School","35.0","32.0","0.9143","Open"
"Mahoning","000623","Summit Academy-Youngstown","22.0","5.0","0.2273","Open"
"Lake","000629","Summit Academy Community School - Painesville","NC","NC","NC","Open"
"Lucas","000633","Summit Academy Toledo Learning Center","NC","NC","NC","Open"
"Cuyahoga","000677","New Day Academy Boarding & Day School","10.0","8.0","0.8","Open"
"Franklin","000679","Oakstone Community School","NC","NC","NC","Open"
"Franklin","000725","Zenith Academy","36.0","25.0","0.6944","Open"
"Cuyahoga","000736","HBCU Preparatory School 1","27.0","19.0","0.7037","Open"
