"County","IRN","Organization Name","Student Count","Student Count At or Above 392","Percentage"
"Summit","043489","Akron City","1596.0","1262.0","0.7907268170426065"
"Stark","043497","Alliance City","213.0","170.0","0.7981220657276995"
"Ashland","043505","Ashland City","223.0","190.0","0.852017937219731"
"Ashtabula","043513","Ashtabula Area City","264.0","207.0","0.7840909090909091"
"Athens","043521","Athens City","183.0","153.0","0.8360655737704918"
"Summit","043539","Barberton City","261.0","232.0","0.8888888888888888"
"Cuyahoga","043547","Bay Village City","188.0","185.0","0.9840425531914894"
"Cuyahoga","043554","Beachwood City","85.0","84.0","0.9882352941176471"
"Cuyahoga","043562","Bedford City","262.0","221.0","0.8435114503816794"
"Belmont","043570","Bellaire Local","102.0","101.0","0.9901960784313726"
"Logan","043588","Bellefontaine City","171.0","158.0","0.9239766081871345"
"Huron","043596","Bellevue City","133.0","131.0","0.9849624060150376"
"Washington","043604","Belpre City","77.0","69.0","0.8961038961038961"
"Cuyahoga","043612","Berea City","471.0","446.0","0.9469214437367304"
"Franklin","043620","Bexley City","160.0","158.0","0.9875"
"Wood","043638","Bowling Green City School District","244.0","220.0","0.9016393442622951"
"Cuyahoga","043646","Brecksville-Broadview Heights City","257.0","248.0","0.9649805447470817"
"Cuyahoga","043653","Brooklyn City","108.0","86.0","0.7962962962962963"
"Medina","043661","Brunswick City","514.0","485.0","0.943579766536965"
"Williams","043679","Bryan City","140.0","124.0","0.8857142857142857"
"Crawford","043687","Bucyrus City","119.0","93.0","0.7815126050420168"
"Guernsey","043695","Cambridge City","176.0","155.0","0.8806818181818182"
"Mahoning","043703","Campbell City","94.0","69.0","0.7340425531914894"
"Stark","043711","Canton City","686.0","513.0","0.7478134110787172"
"Mercer","043729","Celina City","200.0","185.0","0.925"
"Montgomery","043737","Centerville City","571.0","561.0","0.9824868651488616"
"Ross","043745","Chillicothe City","197.0","167.0","0.8477157360406091"
"Hamilton","043752","Cincinnati City","2465.0","2017.0","0.8182555780933063"
"Pickaway","043760","Circleville City","150.0","127.0","0.8466666666666667"
"Tuscarawas","043778","Claymont City","162.0","156.0","0.9629629629629629"
"Cuyahoga","043786","Cleveland Municipal","2701.0","1702.0","0.6301369863013698"
"Cuyahoga","043794","Cleveland Heights-University Heights City","424.0","347.0","0.8183962264150944"
"Franklin","043802","Columbus City School District","4271.0","2957.0","0.6923437134160618"
"Ashtabula","043810","Conneaut Area City","134.0","122.0","0.9104477611940298"
"Coshocton","043828","Coshocton City","124.0","111.0","0.8951612903225806"
"Summit","043836","Cuyahoga Falls City","347.0","322.0","0.9279538904899135"
"Montgomery","043844","Dayton City","1008.0","657.0","0.6517857142857143"
"Hamilton","043851","Deer Park Community City","85.0","82.0","0.9647058823529412"
"Defiance","043869","Defiance City","184.0","170.0","0.9239130434782609"
"Delaware","043877","Delaware City","426.0","395.0","0.9272300469483568"
"Allen","043885","Delphos City","85.0","83.0","0.9764705882352941"
"Tuscarawas","043893","Dover City","197.0","186.0","0.9441624365482234"
