"Building IRN","Building Name","District IRN","District Name","County","Region","Open/Closed Status (as of 9/1/2014)","Feeder IRN","School Type","Economic Status","Read 3rd Grade 2013-14 % Proficient or above","Math 3rd Grade 2013-14 % Proficient or above","Read 4th Grade 2013-14 % Proficient or above","Math 4th Grade 2013-14 % Proficient or above","Read 5th Grade 2013-14 % Proficient or above","Math 5th Grade 2013-14 % Proficient or above","Science 5th Grade 2013-14 % Proficient or above","Read 6th Grade 2013-14 % Proficient or above","Math 6th Grade 2013-14 % Proficient or above","Read 7th Grade 2013-14 % Proficient or above","Math 7th Grade 2013-14 % Proficient or above","Read 8th Grade 2013-14 % Proficient or above","Math 8th Grade 2013-14 % Proficient or above","Science 8th Grade 2013-14 % Proficient or above","Read OGT 2013-14 % Proficient or above","Math OGT 2013-14 % Proficient or above","Write OGT 2013-14 % Proficient or above","Social Studies OGT 2013-14 % Proficient or above","Science OGT 2013-14 % Proficient or above","Read 11th Grade 2013-14 % at or above Proficient","Math 11th Grade 2013-14 % at or above Proficient","Write 11th Grade 2013-14 % at or above Proficient","Social Studies 11th Grade 2013-14 % at or above Proficient","Science 11th Grade 2013-14 % at or above Proficient","Attendance rate 2013-14","	2013 4-Year Longitudinal Graduation Rate - Class of 2013","	2013 5-Year Longitudinal Graduation Rate - Class of 2012","Enrollment","% of Total Enrollment"
"000059","Ada Elementary School","045187","Ada Exempted Village","Hardin","Region 6","Open","000067","Elementary School","Disadvantaged","80.8","88.5","88.5","69.2","80.0","90.0","90.0","84.6","73.1","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","94.9","--","--","164","34.0"
"000059","Ada Elementary School","045187","Ada Exempted Village","Hardin","Region 6","Open","000067","Elementary School","NonDisadvantaged","90.0","92.0",">95.0","91.7","87.8","87.8","85.4","92.6","88.9","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","319","66.0"
"000067","Ada High School","045187","Ada Exempted Village","Hardin","Region 6","Open","******","High School","Disadvantaged","--","--","--","--","--","--","--","--","--","92.9","82.1","83.3","83.3","55.6","92.3","76.9","92.3","84.6","76.9",">95.0",">95.0",">95.0",">95.0","91.7","93.5",">95.0","90.9","115","27.1"
"000067","Ada High School","045187","Ada Exempted Village","Hardin","Region 6","Open","******","High School","NonDisadvantaged","--","--","--","--","--","--","--","--","--",">95.0","93.2","93.9","91.8","81.6","92.2","90.2","94.1","86.3","84.3","90.2","92.2","92.2","88.2","90.2",">95.0",">95.0",">95.0","310","73.1"
"000083","Sandusky Middle School","044743","Sandusky City","Erie","Region 2","Open","033555","Middle School","Disadvantaged","--","--","--","--","--","--","--","--","--","62.7","57.8","77.5","63.8","45.7","--","--","--","--","--","--","--","--","--","--","92.6","--","--","319","77.1"
"000083","Sandusky Middle School","044743","Sandusky City","Erie","Region 2","Open","033555","Middle School","NonDisadvantaged","--","--","--","--","--","--","--","--","--","83.3","78.6","90.5","78.6","76.2","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","94","22.7"
"000102","Meigs Primary School","048520","Meigs Local","Meigs","Region 16","Open","000105","Elementary School","Disadvantaged","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","93.5","--","--","423",">95.0"
"000102","Meigs Primary School","048520","Meigs Local","Meigs","Region 16","Open","000105","Elementary School","NonDisadvantaged","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000105","Meigs Intermediate School","048520","Meigs Local","Meigs","Region 16","Open","062307","Elementary School","Disadvantaged","81.5","74.2","86.2","81.7","62.0","49.6","51.2","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","94.6","--","--","374",">95.0"
"000105","Meigs Intermediate School","048520","Meigs Local","Meigs","Region 16","Open","062307","Elementary School","NonDisadvantaged","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000116","Hamilton Freshman School","044107","Hamilton City","Butler","Region 13","Open","036822","High School","Disadvantaged","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","91.5","--","--","490","69.0"
"000116","Hamilton Freshman School","044107","Hamilton City","Butler","Region 13","Open","036822","High School","NonDisadvantaged","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","220","31.0"
"000117","Adamsville Elementary School","048876","Tri-Valley Local","Muskingum","Region 12","Open","067322","Elementary School","Disadvantaged","81.0","61.9","87.5","58.3","63.6","54.5","63.6","85.0","80.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","190","65.1"
"000117","Adamsville Elementary School","048876","Tri-Valley Local","Muskingum","Region 12","Open","067322","Elementary School","NonDisadvantaged","93.8","81.3",">95.0","90.9","76.9","53.8","69.2","81.3",">95.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","101","34.6"
"000118","Hamilton Intermediate School","046953","Hamilton Local","Franklin","Region 11","Open","028407","Middle School","Disadvantaged","--","--","91.2","90.5","76.0","76.0","79.9","90.4","85.4","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","464","71.6"
"000118","Hamilton Intermediate School","046953","Hamilton Local","Franklin","Region 11","Open","028407","Middle School","NonDisadvantaged","--","--","95.0","91.7","78.7","85.2","83.6",">95.0","86.4","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","185","28.5"
"000119","Oak Hill Middle/High School","047761","Oak Hill Union Local","Jackson","Region 16","Open","******","High School","Disadvantaged","--","--","--","--","--","--","--","79.6","77.8","73.9","62.3","80.7","82.5","54.4","85.5","80.6","82.3","77.4","72.6","87.0","80.0","82.6","76.1","73.3","92.3",">95.0",">95.0","415","57.2"
"000119","Oak Hill Middle/High School","047761","Oak Hill Union Local","Jackson","Region 16","Open","******","High School","NonDisadvantaged","--","--","--","--","--","--","--","93.1",">95.0","92.9","73.8","89.6","91.7","83.3","94.2","94.2","92.3","90.4","92.3",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","91.4","92.1","311","42.8"
"000124","Oak Hill Elementary","047761","Oak Hill Union Local","Jackson","Region 16","Open","000119","Elementary School","Disadvantaged","71.7","81.7",">95.0","80.4","69.4","53.2","72.6","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","94.2","--","--","338","63.2"
"000124","Oak Hill Elementary","047761","Oak Hill Union Local","Jackson","Region 16","Open","000119","Elementary School","NonDisadvantaged","94.6",">95.0","91.9","91.9","88.6","77.1","80.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","197","36.8"
"000125","Polly Fox Academy Community School","000125","Polly Fox Academy Community School","Lucas","Region 1","Open","","Dropout Recovery","Disadvantaged","--","--","--","--","--","--","--","--","--","--","--","--","--","--","70.0","36.4","63.6","54.5","27.3","78.3","52.2","78.3","60.9","56.5","62.5","31.4","45.8","86","92.5"
"000125","Polly Fox Academy Community School","000125","Polly Fox Academy Community School","Lucas","Region 1","Open","","Dropout Recovery","NonDisadvantaged","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000130","Phoenix Academy Community School","000130","Phoenix Academy Community School","Lucas","Region 1","Open","","Dropout Recovery","Disadvantaged","--","--","--","--","--","--","--","--","--","--","--","--","--","--","81.8","80.0","--","70.0","66.7","--","--","--","--","--","60.6","8.3","15.4","141","29.6"
"000130","Phoenix Academy Community School","000130","Phoenix Academy Community School","Lucas","Region 1","Open","","Dropout Recovery","NonDisadvantaged","--","--","--","--","--","--","--","--","--","--","--","--","--","--","73.8","58.1","69.0","65.9","52.3","79.5","71.6","83.8","75.0","65.0","62.5","11.0","19.9","335","70.2"
