"Building IRN","Building Name","District IRN","District Name","County","Region","Open/Closed Status (as of 9/1/2014)","Feeder IRN","School Type","Mobility Status","Read 3rd Grade 2013-14 % Proficient or above","Math 3rd Grade 2013-14 % Proficient or above","Read 4th Grade 2013-14 % Proficient or above","Math 4th Grade 2013-14 % Proficient or above","Read 5th Grade 2013-14 % Proficient or above","Math 5th Grade 2013-14 % Proficient or above","Science 5th Grade 2013-14 % Proficient or above","Read 6th Grade 2013-14 % Proficient or above","Math 6th Grade 2013-14 % Proficient or above","Read 7th Grade 2013-14 % Proficient or above","Math 7th Grade 2013-14 % Proficient or above","Read 8th Grade 2013-14 % Proficient or above","Math 8th Grade 2013-14 % Proficient or above","Science 8th Grade 2013-14 % Proficient or above","Read OGT 2013-14 % Proficient or above","Math OGT 2013-14 % Proficient or above","Write OGT 2013-14 % Proficient or above","Social Studies OGT 2013-14 % Proficient or above","Science OGT 2013-14 % Proficient or above","Read 11th Grade 2013-14 % at or above Proficient","Math 11th Grade 2013-14 % at or above Proficient","Write 11th Grade 2013-14 % at or above Proficient","Social Studies 11th Grade 2013-14 % at or above Proficient","Science 11th Grade 2013-14 % at or above Proficient","Attendance rate 2013-14","	2013 4-Year Longitudinal Graduation Rate - Class of 2013","	2013 5-Year Longitudinal Graduation Rate - Class of 2012","Enrollment","% of Total Enrollment"
"000059","Ada Elementary School","045187","Ada Exempted Village","Hardin","Region 6","Open","000067","Elementary School","Longevity0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","15","3.1"
"000059","Ada Elementary School","045187","Ada Exempted Village","Hardin","Region 6","Open","000067","Elementary School","Longevity1to2","89.5","89.5",">95.0","93.3","90.9","90.9",">95.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","230","47.6"
"000059","Ada Elementary School","045187","Ada Exempted Village","Hardin","Region 6","Open","000067","Elementary School","Longevity3orMore","86.0","91.2","91.5","78.7","84.0","88.0","84.0","88.9","83.3","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","238","49.3"
"000067","Ada High School","045187","Ada Exempted Village","Hardin","Region 6","Open","******","High School","Longevity0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000067","Ada High School","045187","Ada Exempted Village","Hardin","Region 6","Open","******","High School","Longevity1to2","--","--","--","--","--","--","--","--","--","78.6","71.4","--","--","--","--","--","--","--","--","--","--","--","--","--","94.4",">95.0","--","56","13.2"
"000067","Ada High School","045187","Ada Exempted Village","Hardin","Region 6","Open","******","High School","Longevity3orMore","--","--","--","--","--","--","--","--","--",">95.0","93.1","89.8","91.5","74.6","93.0","91.2","94.7","86.0","84.2","91.1","92.9","92.9","89.3","91.1",">95.0",">95.0",">95.0","362","85.4"
"000083","Sandusky Middle School","044743","Sandusky City","Erie","Region 2","Open","033555","Middle School","Longevity0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","23","5.6"
"000083","Sandusky Middle School","044743","Sandusky City","Erie","Region 2","Open","033555","Middle School","Longevity1to2","--","--","--","--","--","--","--","--","--","66.7","48.5","70.0","50.0","46.7","--","--","--","--","--","--","--","--","--","--","89.5","--","--","67","16.2"
"000083","Sandusky Middle School","044743","Sandusky City","Erie","Region 2","Open","033555","Middle School","Longevity3orMore","--","--","--","--","--","--","--","--","--","67.1","64.7","82.7","70.7","54.0","--","--","--","--","--","--","--","--","--","--","94.0","--","--","324","78.3"
"000102","Meigs Primary School","048520","Meigs Local","Meigs","Region 16","Open","000105","Elementary School","Longevity0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","21","4.9"
"000102","Meigs Primary School","048520","Meigs Local","Meigs","Region 16","Open","000105","Elementary School","Longevity1to2","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","93.5","--","--","366","85.3"
"000102","Meigs Primary School","048520","Meigs Local","Meigs","Region 16","Open","000105","Elementary School","Longevity3orMore","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","93.1","--","--","42","9.8"
"000105","Meigs Intermediate School","048520","Meigs Local","Meigs","Region 16","Open","062307","Elementary School","Longevity0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","10","2.7"
"000105","Meigs Intermediate School","048520","Meigs Local","Meigs","Region 16","Open","062307","Elementary School","Longevity1to2","88.9","61.1","81.5","70.4","46.4","25.0","50.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","94.7","--","--","78","20.7"
"000105","Meigs Intermediate School","048520","Meigs Local","Meigs","Region 16","Open","062307","Elementary School","Longevity3orMore","80.2","76.4","88.0","85.5","66.7","55.9","52.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","94.6","--","--","287","76.3"
"000116","Hamilton Freshman School","044107","Hamilton City","Butler","Region 13","Open","036822","High School","Longevity0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","53","7.5"
"000116","Hamilton Freshman School","044107","Hamilton City","Butler","Region 13","Open","036822","High School","Longevity1to2","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","89.5","--","--","195","27.5"
"000116","Hamilton Freshman School","044107","Hamilton City","Butler","Region 13","Open","036822","High School","Longevity3orMore","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","94.2","--","--","462","65.1"
"000117","Adamsville Elementary School","048876","Tri-Valley Local","Muskingum","Region 12","Open","067322","Elementary School","Longevity0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","11","3.8"
"000117","Adamsville Elementary School","048876","Tri-Valley Local","Muskingum","Region 12","Open","067322","Elementary School","Longevity1to2","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","135","46.2"
"000117","Adamsville Elementary School","048876","Tri-Valley Local","Muskingum","Region 12","Open","067322","Elementary School","Longevity3orMore","82.8","69.0","94.6","75.7","65.4","53.8","65.4","80.6","87.1","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","145","49.7"
"000118","Hamilton Intermediate School","046953","Hamilton Local","Franklin","Region 11","Open","028407","Middle School","Longevity0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","21","3.2"
"000118","Hamilton Intermediate School","046953","Hamilton Local","Franklin","Region 11","Open","028407","Middle School","Longevity1to2","--","--","85.7","83.9","74.3","74.3","79.7","84.5","79.3","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","189","29.2"
"000118","Hamilton Intermediate School","046953","Hamilton Local","Franklin","Region 11","Open","028407","Middle School","Longevity3orMore","--","--","95.0","93.6","78.0","80.9","81.6",">95.0","87.9","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","439","67.7"
"000119","Oak Hill Middle/High School","047761","Oak Hill Union Local","Jackson","Region 16","Open","******","High School","Longevity0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","10","1.4"
