"Building IRN","Building Name","District IRN","District Name","County","Region","Street address","City and Zip code","Phone #","Principal","Grade Span","Open/Closed Status (as of 9/1/2014)","School Type","Number of Standards Met","Number of Standards Possible","Percent of Standards Met","Letter Grade of Standards Met","Performance Index Score 2013-14","Performance Index Percent 2013-14","Letter Grade of Performance Index","Letter Grade of Overall Value-Added","Letter Grade of Gifted Value-Added","Letter Grade of Disabled Value-Added","Letter Grade of Lowest 20% Value-Added","Letter Grade of AMO","	2013 4-Year Longitudinal Graduation Rate - Class of 2013","Letter Grade of 4-Year Graduate Rate 2013","	2013 5-Year Longitudinal Graduation Rate - Class of 2012","Letter Grade of 5-Year Graduate Rate 2012","Enrollment","Read 3rd Grade 2013-14 % at or above Proficient","Read 3rd Grade 2012-13 % at or above Proficient","Read 3rd Grade 2011-12 % at or above Proficient","Math 3rd Grade 2013-14 % at or above Proficient","Math 3rd Grade 2012-13 % at or above Proficient","Math 3rd Grade 2011-12 % at or above Proficient","Read 4th Grade 2013-14 % at or above Proficient","Read 4th Grade 2012-13 % at or above Proficient","Read 4th Grade 2011-12 % at or above Proficient","Math 4th Grade 2013-14 % at or above Proficient","Math 4th Grade 2012-13 % at or above Proficient","Math 4th Grade 2011-12 % at or above Proficient","Read 5th Grade 2013-14 % at or above Proficient","Read 5th Grade 2012-13 % at or above Proficient","Read 5th Grade 2011-12 % at or above Proficient","Math 5th Grade 2013-14 % at or above Proficient","Math 5th Grade 2012-13 % at or above Proficient","Math 5th Grade 2011-12 % at or above Proficient","Science 5th Grade 2013-14 % at or above Proficient","Science 5th Grade 2012-13 % at or above Proficient","Science 5th Grade 2011-12 % at or above Proficient","Read 6th Grade 2013-14 % at or above Proficient","Read 6th Grade 2012-13 % at or above Proficient","Read 6th Grade 2011-12 % at or above Proficient","Math 6th Grade 2013-14 % at or above Proficient","Math 6th Grade 2012-13 % at or above Proficient","Math 6th Grade 2011-12 % at or above Proficient","Read 7th Grade 2013-14 % at or above Proficient","Read 7th Grade 2012-13 % at or above Proficient","Read 7th Grade 2011-12 % at or above Proficient","Math 7th Grade 2013-14 % at or above Proficient","Math 7th Grade 2012-13 % at or above Proficient","Math 7th Grade 2011-12 % at or above Proficient","Read 8th Grade 2013-14 % at or above Proficient","Read 8th Grade 2012-13 % at or above Proficient","Read 8th Grade 2011-12 % at or above Proficient","Math 8th Grade 2013-14 % at or above Proficient","Math 8th Grade 2012-13 % at or above Proficient","Math 8th Grade 2011-12 % at or above Proficient","Science 8th Grade 2013-14 % at or above Proficient","Science 8th Grade 2012-13 % at or above Proficient","Science 8th Grade 2011-12 % at or above Proficient","Read OGT 2013-14 % at or above Proficient","Read OGT 2012-13 % at or above Proficient","Read OGT 2011-12 % at or above Proficient","Math OGT 2013-14 % at or above Proficient","Math OGT 2012-13 % at or above Proficient","Math OGT 2011-12 % at or above Proficient","Write OGT 2013-14 % at or above Proficient","Write OGT 2012-13 % at or above Proficient","Write OGT 2011-12 % at or above Proficient","Social Studies OGT 2013-14 % at or above Proficient","Social Studies OGT 2012-13 % at or above Proficient","Social Studies OGT 2011-12 % at or above Proficient","Science OGT 2013-14 % at or above Proficient","Science OGT 2012-13 % at or above Proficient","Science OGT 2011-12 % at or above Proficient","Read 11th Grade 2013-14 % at or above Proficient","Read 11th Grade 2012-13 % at or above Proficient","Read 11th Grade 2011-12 % at or above Proficient","Math 11th Grade 2013-14 % at or above Proficient","Math 11th Grade 2012-13 % at or above Proficient","Math 11th Grade 2011-12 % at or above Proficient","Write 11th Grade 2013-14 % at or above Proficient","Write 11th Grade 2012-13 % at or above Proficient","Write 11th Grade 2011-12 % at or above Proficient","Social Studies 11th Grade 2013-14 % at or above Proficient","Social Studies 11th Grade 2012-13 % at or above Proficient","Social Studies 11th Grade 2011-12 % at or above Proficient","Science 11th Grade 2013-14 % at or above Proficient","Science 11th Grade 2012-13 % at or above Proficient","Science 11th Grade 2011-12 % at or above Proficient","Attendance 2013-14","Attendance 2012-13","Attendance 2011-12","Performance Index Score 2012-13","Performance Index Score 2011-12","Four-Year Graduation Rate Numerator 2013","Four-Year Graduation Rate Denominator 2013","Five-Year Graduation Numerator 2012","Five-Year Graduation Denominator 2012","% Graduates Participating in ACT 2012-13","Number of ACT Remediation Free in 2012-13","% of ACT Remediation Free in 2012-13","% Graduates Participating in SAT 2012-13","Number of SAT Remediation Free in 2012-13","% of SAT Remediation Free in 2012-13","% Graduates with Honors Diploma in 2012-13","Number of Graduates Participating in an AP Test 2012-13","% AP Test Takers with an AP score of 3 or above 2012-13","% Students with an Industry Credential 2012-13","% Students with At Least 3 Dual Enrollment Credits 2012-13"
"000138","Pathway School of Discovery","000138","Pathway School of Discovery","Montgomery","Region 10","173 Avondale Dr","Dayton, OH   45404-2123","(937) 235-5498","Keith B. Colbert","K-8","Open","Community School Startup","6.0","14.0","42.9","F","95.470","79.6","C","C","NR","D","C","C","--","NR","--","NR","719","89.5","81.0","91.8","84.9","84.5","94.1","84.8","89.4","75.9","74.7","82.4","80.7","74.4","70.7","79.3","70.9","51.2","69.0","68.6","51.2","71.3","85.4","80.9","89.2","86.6","65.2","66.7","78.1","81.5","76.3","74.0","64.6","72.1","87.1","81.1","82.5","69.4","82.4","85.5","64.5","69.8","83.9","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","95.2","94.8","95.2","93.22200000000001","95.24600000000001","--","--","--","--","NC","NC","NC","NC","NC","NC","--","NC","--","0.0","0.0"
"000139","Alliance Academy of Cincinnati","000139","Alliance Academy of Cincinnati","Hamilton","Region 13","1712 Duck Creek Rd","Cincinnati, OH   45207-1644","(513) 751-5555","Christopher E. Petty","K-8","Open","Community School Startup","1.0","14.0","7.1","F","83.687","69.7","D","F","NR","NR","C","F","--","NR","--","NR","356","73.3","64.0","38.1","73.3","36.0","55.0","70.0","70.8","60.7","43.3","29.2","53.6","53.8","36.4","55.6","42.3","36.4","40.7","34.6","18.2","37.0","79.4","63.9","80.0","55.9","72.2","66.7","79.3","90.5","71.4","34.5","71.4","57.1","100.0","80.8","70.0","64.3","76.9","70.0","57.1","38.5","25.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","94.1","94.8","95.6","78.509","80.424","--","--","--","--","NC","NC","NC","NC","NC","NC","--","NC","--","0.0","0.0"
"000222","Wildwood Environmental Academy","000222","Wildwood Environmental Academy","Lucas","Region 1","1546 Dartford Rd","Maumee, OH   43537-1374","(419) 868-9885","Elizabeth A. Lewin","K-12","Open","Community School Startup","8.0","19.0","42.1","F","89.263","74.4","C","F","NR","D","D","F","66.7","F","83.3","D","317","81.5","88.0","62.5","81.5","72.0","79.2","80.0","81.0","81.8","51.4","66.7","77.3","56.5","70.6","87.0","43.5","52.9","60.9","60.9","41.2","82.6","70.0","85.7","68.2","50.0","64.3","59.1","90.5","72.4","64.7","61.9","51.7","58.8","85.7","86.7","88.2","64.3","66.7","70.6","60.7","26.7","58.8","93.3","84.6","90.9","80.0","76.9","72.7","73.3","76.9","100.0","73.3","61.5","60.0","86.7","61.5","72.7","--","--","86.7","--","--","66.7","--","--","80.0","--","--","80.0","--","--","73.3","94.6","94.3","93.1","87.699","91.275","10","15","10","12","60.0","--","--","--","--","--","0.0","0","0.0","0.0","0.0"
"000236","Ohio Connections Academy, Inc","000236","Ohio Connections Academy, Inc","Cuyahoga","Region 3","3740 Euclid Ave Ste 101","Cleveland, OH   44115-2229","(513) 234-4900","Sara Deaterla","K-12","Open","Community School Startup","15.0","24.0","62.5","D","94.623","78.9","C","F","NR","F","D","F","55.1","F","62.3","F","3272","80.5","78.6","63.3","64.4","58.3","56.7","87.3","81.4","76.0","67.6","57.2","64.0","72.3","72.0","64.1","53.4","51.2","48.7","70.9","64.9","63.5","85.3","79.8","80.7","67.6","59.6","59.4","86.6","79.5","85.0","65.7","59.0","59.9","90.2","88.4","82.9","74.9","68.7","65.0","66.7","64.8","56.3","93.9","93.3","94.6","81.4","82.8","85.9","90.7","86.2","87.8","86.8","81.7","81.7","80.7","80.6","80.8","98.3","99.2","97.9","91.1","95.0","93.0","97.6","96.2","96.3","96.6","94.9","93.0","93.2","92.9","90.9","97.0","97.0","97.2","92.01100000000001","90.652","201","365","180","289","15.3","25","6.8","5.5","7","1.9","2.2","0","0.0","0.0","0.0"
"000296","Summit Academy Community School-Columbus","000296","Summit Academy Community School-Columbus","Franklin","Region 11","2521 Fairwood Ave Ste 100","Columbus, OH   43207-2712","(614) 237-5497","","K,1-10,UNG","Open","Community School Startup","0.0","7.0","0.0","F","55.426","46.2","F","A","NR","B","B","F","--","NR","--","NR","63","45.5","--","--","70.0","--","--","46.7","60.0","--","40.0","10.0","--","10.0","42.9","58.3","10.0","21.4","50.0","10.0","28.6","16.7","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","94.2","94.4","92.1","63.125","63.23500000000001","--","--","--","--","NC","NC","NC","NC","NC","NC","--","NC","--","0.0","0.0"
"000297","Summit Academy Community School - Dayton","000297","Summit Academy Community School - Dayton","Montgomery","Region 10","4128 Cedar Ridge Rd","Dayton, OH   45414-3908","(937) 278-4298","","K,1-12,UNG","Open","Community School Startup","0.0","12.0","0.0","F","63.333","52.8","D","C","NR","C","C","F","--","NR","--","NR","107","--","54.5","54.5","--","27.3","36.4","50.0","63.6","42.9","20.0","27.3","28.6","12.5","37.5","27.8","25.0","25.0","22.2","25.0","18.8","33.3","50.0","58.8","10.0","40.0","41.2","30.0","50.0","30.0","58.8","38.9","--","23.5","38.5","68.8","66.7","23.1","25.0","50.0","15.4","31.3","33.3","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","90.4","90.8","92.5","66.907","65.206","--","--","--","--","NC","NC","NC","NC","NC","NC","--","NC","--","0.0","0.0"
"000298","Summit Academy Secondary - Akron","000298","Summit Academy Secondary - Akron","Summit","Region 8","464 S Hawkins Ave","Akron, OH   44320-1228","(330) 434-2343","","8-12,UNG","Open","Community School Startup","0.0","10.0","0.0","F","85.222","71.0","C","NR","NR","NR","NR","NR","63.6","F","100.0","A","80","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","72.2","79.2","--","64.7","66.7","--","72.2","45.8","--","64.7","58.3","--","61.1","62.5","--","83.3","--","72.7","76.0","--","81.8","80.0","--","54.5","79.2","--","63.6","79.2","--","54.5","92.5","91.1","90.8","83.583","64.25","7","11","10","10","--","--","--","--","--","--","0.0","0","0.0","0.0","0.0"
"000300","Summit Academy Secondary - Canton","000300","Summit Academy Secondary - Canton","Stark","Region 9","2400 Cleveland Ave NW","Canton, OH   44709-3613","(330) 453-8547","","8-12,UNG","Open","Community School Startup","0.0","10.0","0.0","F","70.353","58.6","D","NR","NR","NR","NR","NR","70.6","F","100.0","A","80","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","56.3","29.2","53.3","43.8","37.5","13.3","62.5","41.7","40.0","50.0","41.7","40.0","50.0","33.3","33.3","66.7","66.7","85.7","73.3","16.7","78.6","60.0","50.0","71.4","80.0","58.3","85.7","66.7","33.3","78.6","93.5","91.6","96.0","64.917","62.267","12","17","11","11","--","--","--","--","--","--","0.0","0","0.0","0.0","0.0"
"000301","Summit Academy Secondary - Lorain","000301","Summit Academy Secondary - Lorain","Lorain","Region 2","1051 E St","Lorain, OH   44052-2134","(440) 288-0448","","8-12,UNG","Open","Community School Startup","0.0","10.0","0.0","F","75.524","62.9","D","NR","NR","NR","NR","NR","60.0","F","81.8","D","81","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","71.4","69.6","66.7","55.0","50.0","26.7","72.2","43.5","86.7","55.0","50.0","60.0","47.4","39.1","33.3","73.7","85.7","90.9","57.9","71.4","54.5","52.6","85.7","90.9","68.4","64.3","90.9","52.6","64.3","81.8","82.6","87.6","88.3","76.726","79.333","9","15","9","11","--","--","--","--","--","--","0.0","0","0.0","0.0","0.0"
"000302","Summit Academy Community School-Parma","000302","Summit Academy Community School-Parma","Cuyahoga","Region 3","5868 Stumph Rd","Parma, OH   44130-1736","(440) 888-5407","","K,1-12,UNG","Open","Community School Startup","0.0","24.0","0.0","F","67.865","56.6","D","C","NR","C","C","F","39.5","F","65.0","F","192","66.7","50.0","64.3","41.7","16.7","42.9","33.3","87.5","75.0","53.3","75.0","68.8","52.9","62.5","7.1","17.6","25.0","0.0","17.6","25.0","7.1","68.8","28.6","63.2","37.5","14.3","42.1","41.2","52.6","40.0","23.5","31.6","20.0","52.9","37.5","50.0","47.1","43.8","56.3","18.8","43.8","31.3","33.3","60.0","69.2","33.3","46.7","46.2","41.7","26.7","38.5","41.7","60.0","53.8","37.5","35.7","53.8","61.5","81.8","66.7","69.2","54.5","61.1","46.2","45.5","55.6","66.7","63.6","66.7","58.3","63.6","66.7","90.7","90.6","90.5","70.411","72.155","15","38","13","20","--","--","--","--","--","--","0.0","0","0.0","0.0","0.0"
