"Building IRN ","Building Name","District IRN","District Name","County","Region","School Type","Teachers Attendance Rate 2013-14","Average Years of Teacher Experience","Average Number of Full Time Teachers","Average Teacher Salary","Average Number of Full Time Teachers Who Have At Least a Bachelors","% of Teachers Who Have At Least a Bachelors","Average Number of Full Time Teachers Who Have At Least a Masters","% of Teachers Who Have At Least a Masters","% of Core Courses Taught by a Properly Certified Teacher","# of Core Courses Taught by a Properly Certified Teacher","Total # of Core Courses","% of Core Courses Taught by a Highly Qualified Teacher","# of Core Courses Taught by a Highly Qualified Teacher","% of Core Courses Taught by Teacher with a Temporary Certificate","# of Core Courses Taught by Teacher with a Temporary Certificate","Open/Closed Status (as of 9/1/2014)","Feeder IRN"
"000059","Ada Elementary School","045187","Ada Exempted Village","Hardin","Region 6","Elementary School","91.2","11","26","53034","26","100.0","20","76.9","100","138.0","138.0","100.0","138.0","0","0.0","Open","000067"
"000067","Ada High School","045187","Ada Exempted Village","Hardin","Region 6","High School","95.9","9","24","48971","24","100.0","11","45.8","98","147.0","150.0","100.0","150.0","0","0.0","Open","******"
"000083","Sandusky Middle School","044743","Sandusky City","Erie","Region 2","Middle School","96.2","16","33","62992","33","100.0","23","67.4","97.7","169.0","173.0","100.0","173.0","0","0.0","Open","033555"
"000102","Meigs Primary School","048520","Meigs Local","Meigs","Region 16","Elementary School","95","11","26","42044","26","100.0","7","26.9","100","98.0","98.0","100.0","98.0","0","0.0","Open","000105"
"000105","Meigs Intermediate School","048520","Meigs Local","Meigs","Region 16","Elementary School","95.9","14","29","44047","29","100.0","15","51.7","100","120.0","120.0","100.0","120.0","0","0.0","Open","062307"
"000116","Hamilton Freshman School","044107","Hamilton City","Butler","Region 13","High School","95.9","11","35","50177","35","100.0","24","68.6","100","332.0","332.0","100.0","332.0","0","0.0","Open","036822"
"000117","Adamsville Elementary School","048876","Tri-Valley Local","Muskingum","Region 12","Elementary School","96.3","11","16","51358","16","100.0","7","44.1","100","78.0","78.0","100.0","78.0","0","0.0","Open","067322"
"000118","Hamilton Intermediate School","046953","Hamilton Local","Franklin","Region 11","Middle School","95.6","6","32","60087","32","100.0","22","68.8","100","167.0","167.0","100.0","167.0","0","0.0","Open","028407"
"000119","Oak Hill Middle/High School","047761","Oak Hill Union Local","Jackson","Region 16","High School","95","13","44","47792","44","100.0","33","75.0","100","165.0","165.0","100.0","165.0","0","0.0","Open","******"
"000124","Oak Hill Elementary","047761","Oak Hill Union Local","Jackson","Region 16","Elementary School","95.3","12","49","48798","49","100.0","37","75.5","100","195.0","195.0","100.0","195.0","0","0.0","Open","000119"
"000125","Polly Fox Academy Community School","000125","Polly Fox Academy Community School","Lucas","Region 1","Dropout Recovery","95.6","10","11","35808","8","73.4","5","45.5","86.7","13.0","15.0","86.7","13.0","0.0","0.0","Open",""
"000130","Phoenix Academy Community School","000130","Phoenix Academy Community School","Lucas","Region 1","Dropout Recovery","92.4","10","17","46793","17","100.0","10","58.5","91.7","44.0","48.0","100.0","48.0","12.5","6.0","Open",""
"000131","Glass City Academy","000131","Glass City Academy","Lucas","Region 1","Dropout Recovery","97.2","2","12","34651","12","100.0","3","25.0","98.9","89.0","90.0","100.0","90.0","0.0","0.0","Open",""
"000135","South Vienna Middle School","046250","Northeastern Local","Clark","Region 10","Middle School","95.7","14","21","52606","21","100.0","10","50.4","100","71.0","71.0","100.0","71.0","0","0.0","Open","027656"
"000137","Northridge Middle School","046250","Northeastern Local","Clark","Region 10","Middle School","95.3","9","27","48095","27","100.0","13","46.9","100","82.0","82.0","100.0","82.0","0","0.0","Open","068577"
"000138","Pathway School of Discovery","000138","Pathway School of Discovery","Montgomery","Region 10","Community School Startup","100","6","37","38485","37","100.0","24","65.1","100","126.0","126.0","100.0","126.0","2.4","3.0","Open",""
"000139","Alliance Academy of Cincinnati","000139","Alliance Academy of Cincinnati","Hamilton","Region 13","Community School Startup","100","5","23","40750","23","100.0","10","43.5","100","73.0","73.0","100.0","73.0","2.7","2.0","Open",""
"000141","Addaville Elementary School","065680","Gallia County Local","Gallia","Region 16","Elementary School","95","15","19","51733","19","100.0","15","78.9","100","99.0","99.0","100.0","99.0","0","0.0","Open","002683"
"000162","Newark Digital Academy","000162","Newark Digital Academy","Licking","Region 11","Dropout Recovery","100.0","11","25","4036","25","100.0","18","72.0","100.0","90.0","90.0","100.0","90.0","0.0","0.0","Open",""
"000177","Fairland West Elementary School","047936","Fairland Local","Lawrence","Region 15","Elementary School","97.1","9","23","51213","23","100.0","9","39.1","100","114.0","114.0","100.0","114.0","0","0.0","Open","011122"
"000178","Early Childhood Center","044545","North Royalton City","Cuyahoga","Region 3","Elementary School","95.4","10","14","67722","14","100.0","6","43.4","100","72.0","72.0","100.0","72.0","0","0.0","Open","000265"
"000187","Centerburg Middle School","047829","Centerburg Local","Knox","Region 7","Middle School","95","16","9","52955","9","100.0","3","32.3","100","53.0","53.0","100.0","53.0","0","0.0","Open","005298"
"000190","Buckeye West Elementary School","047787","Buckeye Local","Jefferson","Region 12","Elementary School","94.3","8","22","41966","22","100.0","12","54.5","100","92.0","92.0","100.0","92.0","0","0.0","Open","039214"
"000197","Hamilton Alternative Academy","000197","Hamilton Alternative Academy","Franklin","Region 11","Dropout Recovery","97.1","13","2","4545","2","100.0","2","85.2","100.0","29.0","29.0","100.0","29.0","0.0","0.0","Open",""
"000208","Adena High School","049494","Adena Local","Ross","Region 15","High School","95.3","15","18","52591","18","100.0","12","66.7","88.7","94.0","106.0","100.0","106.0","0","0.0","Open","******"
"000222","Wildwood Environmental Academy","000222","Wildwood Environmental Academy","Lucas","Region 1","Community School Startup","98.9","4","26","31859","26","100.0","2","7.7","100","99.0","99.0","100.0","99.0","0","0.0","Open",""
"000224","Adlai Stevenson School","043786","Cleveland Municipal","Cuyahoga","Region 3","Elementary School","88","17","28","70424","28","100.0","24","85.7","97.7","172.0","176.0","97.2","171.0","0","0.0","Open","018382"
"000231","Unioto Elementary","049536","Union-Scioto Local","Ross","Region 15","Elementary School","94.9","6","70","52604","69","98.6","18","25.7","100","334.0","334.0","100.0","334.0","0","0.0","Open","065532"
"000232","Adrian Elementary School","044792","South Euclid-Lyndhurst City","Cuyahoga","Region 3","Elementary School","95.5","13","18","72890","18","100.0","14","77.8","100","96.0","96.0","100.0","96.0","0","0.0","Open","014613"
"000234","Ella P. Stewart Academy for Girls","044909","Toledo City","Lucas","Region 1","Elementary School","96.3","13","14","51217","14","100.0","10","71.4","92.6","75.0","81.0","75.3","61.0","0","0.0","Open","008262"
"000236","Ohio Connections Academy, Inc","000236","Ohio Connections Academy, Inc","Cuyahoga","Region 3","Community School Startup","94.9","9","109","39192","109","100.0","62","56.6","100","897.0","897.0","100.0","897.0","0","0.0","Open",""
"000241","Quaker Digital Academy","000241","Quaker Digital Academy","Tuscarawas","Region 12","Dropout Recovery","100.0","40","14","25620","14","100.0","10","73.3","100.0","303.0","303.0","100.0","303.0","0.0","0.0","Open",""
"000242","North Union Elementary School","050336","North Union Local","Union","Region 11","Elementary School","93.8","9","44","48671","43","97.7","15","34.1","100","100.0","100.0","100.0","100.0","0","0.0","Open","026385"
"000257","Alexander Elementary School","045906","Alexander Local","Athens","Region 16","Elementary School","92.8","13","57","51644","57","100.0","41","72.6","100","249.0","249.0","100.0","249.0","0","0.0","Open","000315"
"000265","Albion Elementary School","044545","North Royalton City","Cuyahoga","Region 3","Elementary School","95.5","10","22","68072","22","100.0","10","46.3","100","127.0","127.0","100.0","127.0","0","0.0","Open","099416"
"000270","Main Street School","044560","Norwalk City","Huron","Region 2","Elementary School","93.2","12","23","52949","23","100.0","12","52.2","100","109.0","109.0","100.0","109.0","0","0.0","Open","028050"
"000282","Greater Ohio Virtual School","000282","Greater Ohio Virtual School","Warren","Region 13","Dropout Recovery","99.9","14","25","12145","25","100.0","20","80.6","100.0","299.0","299.0","100.0","299.0","0.0","0.0","Open",""
"000288","Auglaize County Educational Academy","000288","Auglaize County Educational Academy","Allen","Region 6","Dropout Recovery","96.0","38","3","6381","3","100.0","2","74.4","--","","","--","","--","","Open",""
"000291","Malvern Middle School","046177","Brown Local","Carroll","Region 12","Middle School","95.4","15","11","42540","11","100.0","2","13.6","100","50.0","50.0","94.0","47.0","0","0.0","Open","022368"
"000296","Summit Academy Community School-Columbus","000296","Summit Academy Community School-Columbus","Franklin","Region 11","Community School Startup","0.0","2","14","36973","14","100.0","5","37.2","100","17.0","17.0","100.0","17.0","11.8","2.0","Open",""
"000297","Summit Academy Community School - Dayton","000297","Summit Academy Community School - Dayton","Montgomery","Region 10","Community School Startup","100","3","27","34913","27","100.0","12","44.4","88.2","45.0","51.0","100.0","51.0","0","0.0","Open",""
"000298","Summit Academy Secondary - Akron","000298","Summit Academy Secondary - Akron","Summit","Region 8","Community School Startup","100","4","19","33153","18","94.7","4","21.1","23.5","16.0","68.0","98.5","67.0","0","0.0","Open",""
"000300","Summit Academy Secondary - Canton","000300","Summit Academy Secondary - Canton","Stark","Region 9","Community School Startup","0.0","2","21","35855","21","100.0","4","19.0","30.2","45.0","149.0","100.0","149.0","0","0.0","Open",""
"000301","Summit Academy Secondary - Lorain","000301","Summit Academy Secondary - Lorain","Lorain","Region 2","Community School Startup","100","4","19","34786","19","100.0","7","35.1","92.6","88.0","95.0","100.0","95.0","0","0.0","Open",""
"000302","Summit Academy Community School-Parma","000302","Summit Academy Community School-Parma","Cuyahoga","Region 3","Community School Startup","100","5","37","33515","35","94.6","10","27.0","77.9","116.0","149.0","100.0","149.0","5.4","8.0","Open",""
"000303","Summit Academy Secondary - Youngstown","000303","Summit Academy Secondary - Youngstown","Mahoning","Region 5","Community School Startup","100","5","27","34955","27","100.0","9","33.3","61.8","162.0","262.0","100.0","262.0","0","0.0","Open",""
"000304","Summit Academy Community School-Toledo","000304","Summit Academy Community School-Toledo","Lucas","Region 1","Community School Startup","0.0","2","26","37556","26","100.0","11","41.2","65.4","34.0","52.0","100.0","52.0","0","0.0","Open",""
