"School IRN","% enrolled less than 3 years","Virtual"
"","","","Site Based"
"018598","018598","53.3","Site Based"
"033902","033902","49.0","Site Based"
"110007","","19.7","Site Based"
"064048","","16.8","Site Based"
"026682","","0.0","Site Based"
"014613","","31.8","Site Based"
"013164","","100.0","Site Based"
"068577","","14.4","Site Based"
"028035","028035","61.3","Site Based"
"027532","027532","58.3","Site Based"
"008722","","14.1","Site Based"
"026336","","17.6","Site Based"
"009122","","100.0","Site Based"
"009120","009120","69.0","Site Based"
"042762","","22.5","Site Based"
"000257","000257","50.1","Site Based"
"009128","009128","67.6","Site Based"
"018911","","21.1","Site Based"
"041897","041897","52.4","Site Based"
"068379","068379","34.5","Site Based"
"086454","086454","44.4","Site Based"
"014100","","12.8","Site Based"
"010134","","27.7","Site Based"
"010132","","14.5","Site Based"
"064360","","29.7","Site Based"
"011956","","100.0","Site Based"
"011957","011957","66.3","Site Based"
"023390","","15.1","Site Based"
"023549","023549","59.1","Site Based"
"012609","012609","65.1","Site Based"
"011551","","13.3","Site Based"
"018283","","97.1","Site Based"
"034728","034728","62.1","Site Based"
"023093","023093","49.2","Site Based"
"021857","021857","42.8","Site Based"
"012971","012971","69.2","Site Based"
"149302","","100.0","Site Based"
"005371","005371","57.4","Site Based"
"011395","","21.1","Site Based"
"149336","149336","100.0","ESchool"
"011390","011390","71.2","Site Based"
"029876","","17.1","Site Based"
"151951","151951","43.6","Site Based"
"005686","","22.0","Site Based"
"014720","014720","42.4","Site Based"
"082586","","14.0","Site Based"
"032433","032433","63.8","Site Based"
"028324","028324","48.3","Site Based"
"027334","","15.4","Site Based"
"023143","023143","42.5","Site Based"
"005751","","17.8","Site Based"
"005207","","23.2","Site Based"
"031443","031443","49.0","Site Based"
"009589","","20.9","Site Based"
"040162","","35.5","Site Based"
"009233","009233","73.1","Site Based"
"018606","","3.5","Site Based"
"037416","","14.4","Site Based"
"035527","","25.9","Site Based"
"036962","","18.4","Site Based"
"012773","","20.2","Site Based"
"030890","030890","0.0","Site Based"
"004408","","22.2","Site Based"
"008185","","23.2","Site Based"
"009909","","84.9","Site Based"
"011171","","14.3","Site Based"
"031849","031849","59.4","Site Based"
"014431","","27.7","Site Based"
"138735","","27.9","Site Based"
"022301","","35.0","Site Based"
"026112","","19.2","Site Based"
"008052","","16.1","Site Based"
"036384","036384","50.3","Site Based"
"008054","","15.8","Site Based"
"004085","","27.2","Site Based"
"142968","142968","61.5","Site Based"
"040923","040923","65.5","Site Based"
"008508","008508","59.4","Site Based"
"003756","","24.1","Site Based"
"089599","089599","60.0","Site Based"
"028928","028928","48.4","Site Based"
"008292","","21.8","Site Based"
"008290","008290","49.5","Site Based"
"024042","024042","56.5","Site Based"
"008294","008294","48.6","Site Based"
"071068","","15.9","Site Based"
"008299","008299","60.8","Site Based"
"008298","","32.8","Site Based"
"139485","139485","63.4","Site Based"
"032540","","24.8","Site Based"
"015826","","87.2","Site Based"
"022947","","13.4","Site Based"
"011817","011817","75.2","Site Based"
"121525","121525","54.4","Site Based"
"012557","012557","100.0","Site Based"
"012556","012556","100.0","Site Based"
"012555","","11.2","Site Based"
"049197","","","Site Based"
"012558","012558","100.0","Site Based"
"007070","","35.0","Site Based"
"000915","","","Site Based"
"007982","","","Site Based"
"007984","007984","85.3","Site Based"
"005298","","14.1","Site Based"
"021329","","100.0","Site Based"
"015255","","100.0","Site Based"
"040857","040857","57.1","Site Based"
"032664","032664","61.5","Site Based"
"113175","","15.3","Site Based"
"138602","","14.5","Site Based"
"004887","","21.6","Site Based"
"035469","","9.9","Site Based"
"023325","","34.8","Site Based"
"028811","028811","73.4","Site Based"
"022350","022350","60.2","Site Based"
"045591","","","Site Based"
"004796","","10.5","Site Based"
"032763","","19.2","Site Based"
"022541","022541","53.7","Site Based"
"008474","008474","62.1","Site Based"
"099580","099580","62.4","Site Based"
"133348","","100.0","Site Based"
"013730","","34.8","Site Based"
"002337","","22.9","Site Based"
"022053","022053","100.0","Site Based"
"003228","","16.7","Site Based"
"138198","","18.1","Site Based"
"007211","","16.9","Site Based"
"133694","","","Site Based"
"036731","036731","64.7","Site Based"
"084970","084970","44.7","Site Based"
"012394","","93.5","Site Based"
"012391","","100.0","Site Based"
"007187","007187","51.2","Site Based"
"012392","012392","47.9","Site Based"
"138040","138040","49.3","Site Based"
"011601","","25.0","Site Based"
"041319","","26.1","Site Based"
"037671","","16.3","Site Based"
"006858","","10.5","Site Based"
"008987","008987","57.0","Site Based"
"008984","008984","42.4","Site Based"
"008983","","96.3","Site Based"
"007856","007856","42.0","Site Based"
"007674","","10.7","Site Based"
"139022","","16.2","Site Based"
"025650","025650","58.7","Site Based"
"067934","","42.0","Site Based"
"038059","","19.2","Site Based"
"007450","","20.4","Site Based"
"028852","028852","50.9","Site Based"
"002485","","16.9","Site Based"
"041533","041533","45.4","Site Based"
"024307","024307","67.1","Site Based"
"123810","","92.4","Site Based"
"007328","","18.1","Site Based"
"002311","002311","64.4","Site Based"
"018465","","41.6","Site Based"
"061713","061713","59.4","Site Based"
"007690","007690","44.7","Site Based"
"013607","013607","81.2","Site Based"
"002246","","15.1","Site Based"
"029322","029322","58.7","Site Based"
"038109","","24.9","Site Based"
"125245","","15.9","Site Based"
"015206","015206","60.5","Site Based"
"140970","140970","51.6","Site Based"
"006585","","100.0","Site Based"
"039438","","26.1","Site Based"
"036426","036426","53.5","Site Based"
"043281","","16.0","Site Based"
"066282","","16.9","Site Based"
"019083","019083","68.7","Site Based"
"146472","","16.1","Site Based"
"066829","066829","52.3","Site Based"
"006619","","25.9","Site Based"
"019737","","14.7","Site Based"
"070235","070235","26.9","Site Based"
"001917","001917","44.4","Site Based"
"001040","001040","49.8","Site Based"
"043315","","28.4","Site Based"
"016253","016253","68.8","Site Based"
"024273","024273","56.0","Site Based"
"099416","","22.9","Site Based"
"020792","020792","62.8","Site Based"
"039180","039180","53.4","Site Based"
"137265","","25.9","Site Based"
"111054","111054","58.2","Site Based"
"021311","021311","55.6","Site Based"
"034926","034926","66.9","Site Based"
"146878","146878","46.5","Site Based"
"001685","","89.9","Site Based"
"037267","","35.3","Site Based"
"066811","066811","59.1","Site Based"
"033704","","24.7","Site Based"
"016386","","33.3","Site Based"
"038216","038216","60.9","Site Based"
"003822","003822","48.8","Site Based"
"028100","","29.1","Site Based"
"017251","","16.5","Site Based"
"064212","","96.7","Site Based"
"143172","143172","69.4","Site Based"
"040683","","16.8","Site Based"
"037523","037523","57.1","Site Based"
"021220","","18.6","Site Based"
"133520","133520","100.0","Site Based"
"040048","","25.4","Site Based"
"062331","","24.6","Site Based"
"038752","038752","54.3","Site Based"
"000402","","100.0","Virtual School"
"040667","","26.4","Site Based"
"000400","000400","51.8","Site Based"
"000406","000406","67.0","Site Based"
"017814","017814","76.6","Site Based"
"024059","","15.6","Site Based"
"147520","","6.0","Site Based"
"143198","143198","100.0","Site Based"
"035634","035634","61.5","Site Based"
"039073","","10.6","Site Based"
"123141","123141","45.9","Site Based"
"002667","002667","80.9","Site Based"
"006320","","19.8","Site Based"
"044909","","","Site Based"
"044339","","","Site Based"
"062398","","11.9","Site Based"
"021550","021550","56.2","Site Based"
"042572","","16.6","Site Based"
"011494","011494","65.5","Site Based"
"016816","","14.1","Site Based"
"001461","001461","19.8","Site Based"
"020974","020974","63.7","Site Based"
"039271","","46.1","Site Based"
"029140","029140","56.9","Site Based"
"026757","026757","33.3","Site Based"
"136598","136598","44.8","Site Based"
"066845","","12.4","Site Based"
"008615","","93.6","Site Based"
"025874","","44.9","Site Based"
"030148","030148","43.8","Site Based"
"047480","","","Site Based"
"149054","","87.7","Virtual School"
"040261","","16.1","Site Based"
"061572","","17.0","Site Based"
"010348","010348","13.1","Site Based"
"038364","","13.4","Site Based"
"037846","","19.6","Site Based"
"027433","027433","69.3","Site Based"
"026435","","100.0","Site Based"
"026922","","20.1","Site Based"
"000318","000318","61.9","Site Based"
"000319","000319","63.7","Site Based"
"000316","","87.1","Site Based"
"020404","020404","66.0","Site Based"
"000315","","15.8","Site Based"
"029447","","12.6","Site Based"
"000311","000311","60.0","Site Based"
"151142","151142","100.0","ESchool"
"064675","064675","53.7","Site Based"
"133835","","100.0","Site Based"
"034462","","27.2","Site Based"
"043174","043174","62.9","Site Based"
"143354","","","Site Based"
"037283","","16.0","Site Based"
"000292","","","Site Based"
"145433","145433","55.8","Site Based"
"034264","","16.3","Site Based"
"010702","","33.1","Site Based"
"143305","143305","88.1","Virtual School"
"013847","013847","56.9","Site Based"
"014605","014605","17.8","Site Based"
"145748","","16.0","Site Based"
"065508","","36.3","Site Based"
"005561","005561","80.0","Site Based"
"010090","","15.4","Site Based"
"027508","027508","50.3","Site Based"
"140152","","77.5","Site Based"
"028001","028001","66.0","Site Based"
"030924","030924","52.6","Site Based"
"029538","","16.5","Site Based"
"041889","","0.0","Site Based"
"018929","","18.3","Site Based"
"014285","","15.0","Site Based"
"009134","","13.0","Site Based"
"001313","","91.3","Site Based"
"005165","005165","58.5","Site Based"
"000222","000222","77.0","Site Based"
"152280","152280","16.8","Site Based"
"000226","","","Site Based"
"000224","000224","53.2","Site Based"
"030031","030031","53.7","Site Based"
"027680","","34.0","Site Based"
"011948","011948","100.0","Site Based"
"010413","010413","70.6","Site Based"
"014118","","13.2","Site Based"
"011947","","100.0","Site Based"
"011943","011943","58.1","Site Based"
"016840","016840","53.4","Site Based"
"011544","","76.7","Site Based"
"034736","","31.1","Site Based"
"023085","023085","45.0","Site Based"
"025452","025452","57.9","Site Based"
"011381","011381","81.2","Site Based"
"149328","","100.0","Site Based"
"000137","","17.8","Site Based"
"118158","","22.3","Site Based"
"000135","","21.5","Site Based"
"000132","","","Site Based"
"067850","","23.1","Site Based"
"000130","","93.5","Site Based"
"000131","","100.0","Site Based"
"027342","027342","44.7","Site Based"
"024794","024794","56.3","Site Based"
"023150","023150","60.3","Site Based"
"000138","000138","100.0","Site Based"
"000139","000139","100.0","Site Based"
"142182","142182","42.5","Site Based"
"089631","089631","51.6","Site Based"
"005769","","13.8","Site Based"
"015735","","33.8","Site Based"
"009225","009225","48.1","Site Based"
"009224","009224","57.9","Site Based"
"035220","","12.4","Site Based"
"009221","009221","55.9","Site Based"
"009220","","93.3","Site Based"
"009222","009222","55.7","Site Based"
"009910","","22.5","Site Based"
"005942","005942","41.7","Site Based"
"037465","037465","56.5","Site Based"
"062190","","23.0","Site Based"
"012708","012708","50.9","Site Based"
"004416","","19.5","Site Based"
"004143","","17.9","Site Based"
"015396","015396","56.6","Site Based"
"065557","065557","69.0","Site Based"
"040915","","15.9","Site Based"
"010967","010967","63.5","Site Based"
"031674","031674","43.7","Site Based"
"014423","014423","63.7","Site Based"
"042366","","11.8","Site Based"
"011163","","22.2","Site Based"
"031856","","5.8","Site Based"
