"District IRN","% enrolled less than 3 years","Charter Transfer"
"46995.0","","","379096.20"
"47027.0","","","1232042.41"
"44685.0","","","619137.89"
"049957","049957","31.3",""
"50252.0","","","135501.23"
"048132","048132","44.5",""
"048421","048421","41.9",""
"44073.0","","","102959.20"
"43570.0","","","176048.94"
"44057.0","","","497749.09"
"050484","050484","33.5",""
"044784","044784","37.2",""
"44172.0","","","407048.58"
"049791","049791","38.5",""
"46979.0","","","9567319.40"
"048041","048041","38.5",""
"48223.0","","","1329024.77"
"043703","043703","43.1",""
"49437.0","","","452067.27"
"49783.0","","","29682.15"
"045070","045070","57.5",""
"046326","046326","40.0",""
"44693.0","","","226440.12"
"044073","044073","32.1",""
"050625","050625","32.7",""
"46623.0","","","68012.43"
"50708.0","","","183609.72"
"44966.0","","","527422.06"
"045674","045674","43.9",""
"045856","045856","36.1",""
"048652","048652","30.4",""
"046250","046250","34.9",""
"049080","049080","33.5",""
"47787.0","","","279683.78"
"049494","049494","36.4",""
"044271","044271","32.6",""
"048223","048223","44.3",""
"43562.0","","","1008658.35"
"046243","046243","34.0",""
"047951","047951","39.5",""
"47597.0","","","102804.22"
"50658.0","","","42613.85"
"49973.0","","","482934.43"
"045567","045567","37.1",""
"046441","046441","41.1",""
"044099","044099","38.1",""
"44065.0","","","418074.20"
"45823.0","","","224384.91"
"049643","049643","36.4",""
"43778.0","","","244026.28"
"47241.0","","","1388026.57"
"045971","045971","34.6",""
"43588.0","","","470712.26"
"50617.0","","","106877.89"
"047217","047217","33.7",""
"48140.0","","","204398.90"
"044909","044909","47.7",""
"44115.0","","","587104.47"
"046748","046748","35.8",""
"046136","046136","45.1",""
"049528","049528","37.8",""
"047852","047852","38.3",""
"47522.0","","","102709.23"
"47225.0","","","122354.93"
"45401.0","","","373881.13"
"046235","046235","34.0",""
"043794","043794","49.4",""
"44131.0","","","155083.26"
"043828","043828","35.6",""
"48132.0","","","609377.99"
"050963","","",""
"49205.0","","","149738.91"
"048033","048033","33.0",""
"49379.0","","","79708.99"
"044552","044552","35.4",""
"48082.0","","","259495.93"
"48371.0","","","208245.00"
"044008","044008","37.4",""
"044412","044412","55.6",""
"049171","049171","30.4",""
"45294.0","","","225857.36"
"44990.0","","","5848595.31"
"45427.0","","","333894.71"
"047191","047191","29.4",""
"44958.0","","","660869.99"
"044891","044891","33.9",""
"047381","047381","36.1",""
"050393","050393","33.0",""
"045559","045559","39.8",""
"050534","050534","32.2",""
"48462.0","","","363347.58"
"046284","046284","33.3",""
"050245","050245","33.6",""
"50096.0","","","63192.73"
"50443.0","","","808678.33"
"050302","050302","32.4",""
"45070.0","","","2692369.62"
"48694.0","","","5147658.68"
"047514","047514","34.5",""
"046672","046672","37.3",""
"048694","048694","55.5",""
"46094.0","","","651372.57"
"049031","049031","32.9",""
"050922","","",""
"049817","049817","22.6",""
"49536.0","","","292868.29"
"43661.0","","","702677.75"
"046763","046763","32.5",""
"044214","044214","34.6",""
"043489","043489","45.3",""
"043893","043893","33.9",""
"50286.0","","","266749.75"
"046474","046474","31.9",""
"045807","045807","37.0",""
"44792.0","","","619258.92"
"043950","043950","48.8",""
"047456","047456","25.6",""
"050773","","",""
"044172","044172","36.6",""
"050179","050179","29.0",""
"065680","065680","35.0",""
"049197","049197","46.0",""
"049627","049627","34.1",""
"047332","047332","48.6",""
"43596.0","","","378611.10"
"050435","050435","37.7",""
"48090.0","","","145612.36"
"45807.0","","","125550.78"
"043687","043687","37.4",""
"45179.0","","","2498675.75"
"000442","000442","36.3",""
"139303.0","","","488988.83"
"045401","045401","36.1",""
"50278.0","","","163379.62"
"045153","045153","38.4",""
"47498.0","","","93866.41"
"045526","045526","34.3",""
"063495","","",""
"48470.0","","","555195.64"
"047639","047639","34.9",""
"49080.0","","","322249.43"
"046219","046219","34.6",""
"49692.0","","","60974.34"
"49346.0","","","44822.13"
"047209","047209","38.9",""
"045021","045021","33.3",""
"049536","049536","40.0",""
"50625.0","","","51435.34"
"050328","050328","35.9",""
"045484","045484","35.4",""
"049106","049106","34.8",""
"45047.0","","","5160130.36"
"049361","049361","28.6",""
"047027","047027","35.2",""
"44248.0","","","542768.76"
"047621","047621","41.1",""
"046821","046821","33.0",""
"051698","","",""
"48124.0","","","316162.54"
"50641.0","","","57522.41"
"049445","049445","33.9",""
"44628.0","","","1109988.82"
"43653.0","","","417883.26"
"44610.0","","","300673.41"
"049692","049692","53.1",""
"047365","047365","37.9",""
"049155","049155","40.3",""
"49445.0","","","79899.90"
"47696.0","","","344324.97"
"012391","","",""
"46011.0","","","151400.25"
"49866.0","","","275038.86"
"47001.0","","","3678992.84"
"44255.0","","","991094.64"
"46300.0","","","312912.82"
"048264","048264","33.7",""
"050062","050062","42.0",""
"46722.0","","","99155.77"
"044602","044602","37.4",""
"045328","045328","44.4",""
"46953.0","","","1544203.77"
"048348","048348","28.2",""
"046854","046854","35.7",""
"045633","045633","25.2",""
"048611","048611","41.4",""
"049833","049833","40.9",""
"046508","046508","45.5",""
"048165","048165","38.1",""
"44313.0","","","86025.64"
"44305.0","","","1767332.66"
"047175","047175","36.6",""
"044198","044198","41.5",""
"048793","048793","40.4",""
"45419.0","","","116748.99"
"044149","044149","40.1",""
"048926","048926","29.9",""
"49320.0","","","95209.36"
"49890.0","","","334585.38"
"44164.0","","","404201.85"
"049841","049841","32.4",""
"043752","043752","27.5",""
"047613","047613","38.7",""
"051185","","",""
"049296","049296","35.2",""
"44784.0","","","505258.16"
"50369.0","","","120275.07"
"47506.0","","","76986.01"
"44081.0","","","2309799.90"
"46763.0","","","1186474.12"
"044040","044040","52.0",""
"47951.0","","","315786.57"
"50633.0","","","82870.18"
"47449.0","","","125555.09"
"47472.0","","","1026.70"
"050591","050591","32.6",""
"045773","045773","41.0",""
"049510","049510","33.7",""
"46680.0","","","113623.74"
"50120.0","","","227948.23"
"047837","047837","36.6",""
"44602.0","","","755048.23"
"048553","048553","23.1",""
"044693","044693","41.9",""
"044289","044289","27.0",""
"044123","044123","40.0",""
"047969","047969","36.0",""
"049379","049379","28.9",""
"48652.0","","","316256.81"
"46516.0","","","216045.27"
"50161.0","","","746743.59"
"048710","048710","39.9",""
"044990","044990","45.8",""
"47761.0","","","209591.13"
"049726","049726","38.3",""
"46755.0","","","612263.62"
"44875.0","","","1528189.08"
"069682","069682","32.2",""
"047803","047803","35.0",""
"45641.0","","","351542.48"
"044586","044586","32.5",""
"50351.0","","","81416.54"
"43943.0","","","6541633.58"
"011506","","",""
"47183.0","","","545402.81"
"048488","048488","31.6",""
"043968","043968","43.5",""
"046433","046433","35.3",""
"044669","044669","48.0",""
"44743.0","","","1402192.49"
"48231.0","","","2596894.97"
"043919","043919","41.4",""
"043521","043521","40.2",""
"046003","046003","35.6",""
"044404","044404","47.5",""
"49981.0","","","327305.03"
"44800.0","","","14075064.37"
"044461","044461","44.9",""
"050575","050575","34.8",""
"046979","046979","54.4",""
"46458.0","","","215234.01"
"46037.0","","","236673.87"
"44636.0","","","8150551.49"
"44339.0","","","2735510.75"
"050203","050203","32.4",""
"049098","049098","35.7",""
"44446.0","","","170627.42"
"48801.0","","","514693.85"
"48876.0","","","405537.12"
"046581","046581","36.9",""
"50393.0","","","255192.60"
"049544","049544","37.6",""
"45088.0","","","207360.63"
"045617","045617","31.8",""
"47456.0","","","84867.22"
"45336.0","","","42381.24"
"44099.0","","","767254.77"
"048363","048363","30.4",""
"46508.0","","","187888.09"
"47894.0","","","1302346.98"
"45435.0","","","114260.60"
"047241","047241","35.7",""
"45963.0","","","32141.54"
"047043","047043","32.9",""
"049148","049148","36.3",""
"43513.0","","","901968.48"
"050542","050542","30.6",""
"046334","046334","37.1",""
"48553.0","","","7072.85"
"044578","044578","45.8",""
"49031.0","","","126729.15"
"46862.0","","","303673.84"
"49338.0","","","10951.51"
"44511.0","","","465186.23"
"045443","045443","40.5",""
"045310","045310","28.1",""
"045211","045211","29.0",""
"43539.0","","","999228.71"
"046482","046482","33.5",""
"047415","047415","27.3",""
"046094","046094","34.1",""
"43489.0","","","25107355.41"
"45633.0","","","77535.03"
"49502.0","","","258644.65"
"047340","047340","31.3",""
"047068","047068","26.7",""
"47043.0","","","68925.05"
"46961.0","","","2120617.42"
"046862","046862","40.5",""
"43687.0","","","674709.38"
"50047.0","","","420496.98"
"45344.0","","","263558.47"
"048801","048801","37.0",""
"051300","","",""
"050443","050443","35.8",""
"47514.0","","","121693.52"
"051458","","",""
"49882.0","","","345176.73"
"45831.0","","","223721.55"
"43976.0","","","308314.74"
"046078","046078","37.3",""
"044644","044644","38.8",""
"45666.0","","","135830.42"
"45971.0","","","118461.29"
"043679","043679","34.6",""
"044768","044768","35.0",""
"046896","046896","33.8",""
