"District IRN","District Name","County","Region","Disability Status","Read 3rd Grade 2013-14 % Proficient or above","Math 3rd Grade 2013-14 % Proficient or above","Read 4th Grade 2013-14 % Proficient or above","Math 4th Grade 2013-14 % Proficient or above","Read 5th Grade 2013-14 % Proficient or above","Math 5th Grade 2013-14 % Proficient or above","Science 5th Grade 2013-14 % Proficient or above","Read 6th Grade 2013-14 % Proficient or above","Math 6th Grade 2013-14 % Proficient or above","Read 7th Grade 2013-14 % Proficient or above","Math 7th Grade 2013-14 % Proficient or above","Read 8th Grade 2013-14 % Proficient or above","Math 8th Grade 2013-14 % Proficient or above","Science 8th Grade 2013-14 % Proficient or above","Read OGT 2013-14 % Proficient or above","Math OGT 2013-14 % Proficient or above","Write OGT 2013-14 % Proficient or above","Social Studies OGT 2013-14 % Proficient or above","Science OGT 2013-14 % Proficient or above","Read 11th Grade 2013-14 % at or above Proficient","Math 11th Grade 2013-14 % at or above Proficient","Write 11th Grade 2013-14 % at or above Proficient","Social Studies 11th Grade 2013-14 % at or above Proficient","Science 11th Grade 2013-14 % at or above Proficient","Attendance rate 2013-14","	2013 4-Year Longitudinal Graduation Rate - Class of 2013","	2013 5-Year Longitudinal Graduation Rate - Class of 2012","Enrollment","% of Total Enrollment"
"000442","Manchester Local","Adams","Region 14","Disabled","58.3","50.0","66.7","41.7","--","--","--","70.0","40.0","62.5","37.5","91.7","50.0","66.7","83.3","83.3","91.7",">95.0","66.7","90.9","90.9","90.9","90.9","81.8","94.3",">95.0","90.0","152","18.7"
"000442","Manchester Local","Adams","Region 14","NonDisabled","92.3","82.7","87.8","79.6","70.9","63.6","76.4",">95.0","86.5","91.1","83.9",">95.0","90.6","94.3",">95.0",">95.0",">95.0",">95.0","84.4",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","663","81.3"
"043489","Akron City","Summit","Region 8","Disabled","40.5","41.4","51.2","37.1","25.8","22.5","27.2","30.8","18.4","26.0","16.7","35.2","26.7","13.3","42.0","22.7","38.8","35.0","24.1","57.6","45.1","52.5","48.4","43.0","92.2","72.1","78.1","4011","18.9"
"043489","Akron City","Summit","Region 8","NonDisabled","80.0","74.1","81.3","70.2","64.3","58.5","57.0","76.9","56.8","77.0","56.4","81.9","67.8","44.8","84.2","71.5","81.6","73.4","63.3","93.8","88.7","92.6","86.7","78.8","94.1","80.4","84.7","17254","81.1"
"043497","Alliance City","Stark","Region 9","Disabled","32.1","39.3","37.9","24.1","31.3","28.1","37.5","47.2","30.6","56.8","45.5","53.6","50.0","7.1","58.3","36.1","55.6","41.7","38.9","61.1","55.6","55.6","63.9","58.3","93.5","87.3","77.6","473","17.5"
"043497","Alliance City","Stark","Region 9","NonDisabled","80.8","88.0","81.1","73.1","64.5","65.9","60.2","86.6","71.6","81.0","67.9","90.7","92.0","66.9","93.7","84.5","90.8","85.9","72.5",">95.0",">95.0",">95.0",">95.0","93.0","94.7","87.9","87.0","2237","82.5"
"043505","Ashland City","Ashland","Region 7","Disabled","30.0","50.0","67.9","53.6","33.3","26.7","53.3","68.2","40.9","36.8","47.4","47.2","44.4","30.6","60.7","35.7","53.6","50.0","39.3","79.3","50.0","66.7","66.7","60.0","93.5","76.0","85.3","399","12.1"
"043505","Ashland City","Ashland","Region 7","NonDisabled","89.0","88.1",">95.0","94.8","83.7","77.6","83.7","93.8","89.6","93.3","88.3","93.3","90.1","69.5",">95.0",">95.0",">95.0","94.7","92.1",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","2899","87.9"
"043513","Ashtabula Area City","Ashtabula","Region 5","Disabled","33.3","24.1","54.4","48.5","31.7","31.7","22.2","38.2","25.5","31.4","27.5","21.8","16.4","20.0","50.0","22.7","38.6","43.2","22.7","61.4","49.1","61.4","43.9","31.6","92.9","74.1","68.1","755","21.5"
"043513","Ashtabula Area City","Ashtabula","Region 5","NonDisabled","81.6","73.0","83.3","84.2","71.5","67.6","56.5","84.9","83.4","87.4","78.1","88.7","76.9","64.6","89.2","79.5","86.7","76.9","73.8",">95.0","93.6",">95.0","93.5","86.6","94.0","86.1","83.7","2761","78.5"
"043521","Athens City","Athens","Region 16","Disabled","38.2","41.2","56.3","34.4","33.3","25.0","37.5","60.5","21.1","54.3","34.3","44.4","41.7","25.0","47.2","30.6","41.7","42.9","34.3","56.7","35.5","58.1","43.3","35.5","92.7","93.5","89.7","489","17.8"
"043521","Athens City","Athens","Region 16","NonDisabled","93.8","90.3","91.1","84.4","81.0","74.0","79.2","93.8","89.8","90.4","78.1","93.1","90.0","83.2",">95.0","91.4",">95.0","91.4","88.9",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","90.7","88.0","2258","82.2"
"043539","Barberton City","Summit","Region 8","Disabled","45.5","36.4","60.0","43.6","24.0","22.0","34.0","37.7","34.0","35.5","30.6","46.9","32.7","18.4","42.9","22.9","52.9","37.1","25.7","67.4","58.7","60.9","52.2","50.0","92.2","65.5","84.2","676","18.1"
"043539","Barberton City","Summit","Region 8","NonDisabled","89.4","82.5","90.0","82.6","68.0","63.0","62.1","82.6","78.9","84.7","71.1","90.0","82.1","64.1",">95.0","90.7","93.3","79.0","80.0",">95.0",">95.0",">95.0",">95.0","94.0","93.5","87.1","90.9","3060","81.9"
"043547","Bay Village City","Cuyahoga","Region 3","Disabled","94.4","83.3","91.7","79.2","65.0","75.0","65.0","72.2","72.2","77.8","94.7","59.1","54.5","31.8","82.6","60.9","87.0","60.9","69.6",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","80.6",">95.0","284","11.6"
"043547","Bay Village City","Cuyahoga","Region 3","NonDisabled",">95.0",">95.0",">95.0",">95.0","90.0","94.6","88.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","2173","88.4"
"043554","Beachwood City","Cuyahoga","Region 3","Disabled","83.3","83.3","93.8","81.3","81.8","81.8","63.6","77.8","72.2","--","--","83.3","83.3","50.0","86.7","60.0","73.3","86.7","60.0",">95.0","90.9","83.3","91.7","90.9",">95.0","--","78.9","192","13.8"
"043554","Beachwood City","Cuyahoga","Region 3","NonDisabled",">95.0",">95.0",">95.0",">95.0","93.8",">95.0","92.8",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","94.4",">95.0",">95.0",">95.0",">95.0","94.2",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","1203","86.2"
"043562","Bedford City","Cuyahoga","Region 3","Disabled","51.4","56.8","44.2","30.8","27.8","19.4","19.4","60.5","30.2","47.8","30.4","41.7","27.1","2.1","50.9","38.2","47.3","36.4","27.3","64.3","64.3","64.3","57.1","60.7","94.0","72.3",">95.0","585","17.6"
"043562","Bedford City","Cuyahoga","Region 3","NonDisabled","86.8","76.1","87.8","74.6","74.6","54.8","46.7","93.4","85.4","91.0","84.4",">95.0","88.7","54.7",">95.0","85.9","93.4","89.0","70.2",">95.0",">95.0",">95.0","94.1","85.7",">95.0","79.7","80.9","2736","82.4"
"043570","Bellaire Local","Belmont","Region 12","Disabled",">95.0","86.4","66.7","58.3","90.9",">95.0","72.7",">95.0",">95.0","78.9","84.2",">95.0","94.7","89.5","40.0","40.0","30.0","35.0","35.0","77.3","72.7","68.2","68.2","72.7","92.7","77.3","72.4","271","21.5"
"043570","Bellaire Local","Belmont","Region 12","NonDisabled",">95.0","90.5","82.6","79.7",">95.0",">95.0",">95.0","86.4","82.7","88.3","89.6","92.0",">95.0","90.7","93.9","81.8","86.4","80.3","77.3","90.0","92.9","94.3","85.7","87.1","94.4","83.6","93.5","991","78.5"
"043588","Bellefontaine City","Logan","Region 6","Disabled","37.5","41.7","60.7","50.0","52.2","30.4","52.2","24.0","8.0","34.5","27.6","47.2","38.9","25.0","42.4","21.2","36.4","27.3","18.2","88.2","64.7","64.7","55.9","60.6","94.9","93.3","90.9","443","17.1"
"043588","Bellefontaine City","Logan","Region 6","NonDisabled","94.5","91.2",">95.0","91.1","85.1","71.4","89.1","90.4","85.8","91.0","86.9","88.6","85.6","70.7",">95.0","93.1","94.4","91.0","85.4",">95.0",">95.0",">95.0",">95.0","92.8",">95.0","93.2",">95.0","2149","82.9"
