"District IRN","District Name","County","Region","Limited English Proficiency","Read 3rd Grade 2013-14 % Proficient or above","Math 3rd Grade 2013-14 % Proficient or above","Read 4th Grade 2013-14 % Proficient or above","Math 4th Grade 2013-14 % Proficient or above","Read 5th Grade 2013-14 % Proficient or above","Math 5th Grade 2013-14 % Proficient or above","Science 5th Grade 2013-14 % Proficient or above","Read 6th Grade 2013-14 % Proficient or above","Math 6th Grade 2013-14 % Proficient or above","Read 7th Grade 2013-14 % Proficient or above","Math 7th Grade 2013-14 % Proficient or above","Read 8th Grade 2013-14 % Proficient or above","Math 8th Grade 2013-14 % Proficient or above","Science 8th Grade 2013-14 % Proficient or above","Read OGT 2013-14 % Proficient or above","Math OGT 2013-14 % Proficient or above","Write OGT 2013-14 % Proficient or above","Social Studies OGT 2013-14 % Proficient or above","Science OGT 2013-14 % Proficient or above","Read 11th Grade 2013-14 % at or above Proficient","Math 11th Grade 2013-14 % at or above Proficient","Write 11th Grade 2013-14 % at or above Proficient","Social Studies 11th Grade 2013-14 % at or above Proficient","Science 11th Grade 2013-14 % at or above Proficient","Attendance rate 2013-14","	2013 4-Year Longitudinal Graduation Rate - Class of 2013","	2013 5-Year Longitudinal Graduation Rate - Class of 2012","Enrollment","% of Total Enrollment"
"000442","Manchester Local","Adams","Region 14","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"043489","Akron City","Summit","Region 8","LEP","49.4","55.2","51.5","49.5","41.3","42.4","40.2","52.5","51.3","47.6","41.3","42.9","41.4","17.4","24.1","24.1","19.6","22.3","14.2","50.0","50.0","40.9","42.0","30.7","94.7","51.5","76.8","1308","6.2"
"043497","Alliance City","Stark","Region 9","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","13","0.5"
"043505","Ashland City","Ashland","Region 7","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","20","0.6"
"043513","Ashtabula Area City","Ashtabula","Region 5","LEP","57.9","26.3","54.1","54.1","27.3","9.1","9.1","40.9","50.0","--","--","33.3","25.0","8.3","30.8","7.7","30.8","15.4","7.7","--","--","--","--","--","93.8","--","--","229","6.5"
"043521","Athens City","Athens","Region 16","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","67","2.4"
"043539","Barberton City","Summit","Region 8","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","31","0.8"
"043547","Bay Village City","Cuyahoga","Region 3","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","16","0.7"
"043554","Beachwood City","Cuyahoga","Region 3","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","67","4.8"
"043562","Bedford City","Cuyahoga","Region 3","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","67","2.0"
"043570","Bellaire Local","Belmont","Region 12","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"043588","Bellefontaine City","Logan","Region 6","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","18","0.7"
"043596","Bellevue City","Huron","Region 2","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"043604","Belpre City","Washington","Region 16","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"043612","Berea City","Cuyahoga","Region 3","LEP","93.3",">95.0",">95.0","76.9","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","146","2.2"
"043620","Bexley City","Franklin","Region 11","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","93.9","--","--","28","1.3"
"043638","Bowling Green City","Wood","Region 1","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","48","1.6"
"043646","Brecksville-Broadview Heights City","Cuyahoga","Region 3","LEP","90.0","70.0",">95.0",">95.0","94.4","72.2","94.1","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","108","2.7"
"043653","Brooklyn City","Cuyahoga","Region 3","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","99","7.3"
"043661","Brunswick City","Medina","Region 8","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","66","0.9"
"043679","Bryan City","Williams","Region 1","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"043687","Bucyrus City","Crawford","Region 7","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"043695","Cambridge City","Guernsey","Region 12","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"043703","Campbell City","Mahoning","Region 5","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","92.6","--","--","37","3.1"
"043711","Canton City","Stark","Region 9","LEP","--","--","36.4","54.5","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","94.2","--","--","113","1.2"
"043729","Celina City","Mercer","Region 6","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","95.0","--","--","56","2.1"
"043737","Centerville City","Montgomery","Region 10","LEP","79.2","76.0","64.3","60.0","63.6","45.5","36.4","50.0","54.5","--","70.0","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","152","2.0"
"043745","Chillicothe City","Ross","Region 15","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"043752","Cincinnati City","Hamilton","Region 13","LEP","61.6","58.5","74.7","58.9","52.0","48.0","36.8","65.6","62.5","60.9","43.7","67.1","48.6","23.9","51.7","48.3","53.4","55.2","37.9","71.4","76.8","69.6","76.4","54.4",">95.0","72.6","63.6","1785","5.9"
"043760","Circleville City","Pickaway","Region 11","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"043778","Claymont City","Tuscarawas","Region 12","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
