"District IRN","District Name","County","Region","Mobility Status","Read 3rd Grade 2013-14 % Proficient or above","Math 3rd Grade 2013-14 % Proficient or above","Read 4th Grade 2013-14 % Proficient or above","Math 4th Grade 2013-14 % Proficient or above","Read 5th Grade 2013-14 % Proficient or above","Math 5th Grade 2013-14 % Proficient or above","Science 5th Grade 2013-14 % Proficient or above","Read 6th Grade 2013-14 % Proficient or above","Math 6th Grade 2013-14 % Proficient or above","Read 7th Grade 2013-14 % Proficient or above","Math 7th Grade 2013-14 % Proficient or above","Read 8th Grade 2013-14 % Proficient or above","Math 8th Grade 2013-14 % Proficient or above","Science 8th Grade 2013-14 % Proficient or above","Read OGT 2013-14 % Proficient or above","Math OGT 2013-14 % Proficient or above","Write OGT 2013-14 % Proficient or above","Social Studies OGT 2013-14 % Proficient or above","Science OGT 2013-14 % Proficient or above","Read 11th Grade 2013-14 % at or above Proficient","Math 11th Grade 2013-14 % at or above Proficient","Write 11th Grade 2013-14 % at or above Proficient","Social Studies 11th Grade 2013-14 % at or above Proficient","Science 11th Grade 2013-14 % at or above Proficient","Attendance rate 2013-14","	2013 4-Year Longitudinal Graduation Rate - Class of 2013","	2013 5-Year Longitudinal Graduation Rate - Class of 2012","Enrollment","% of Total Enrollment"
"000442","Manchester Local","Adams","Region 14","Longevity0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","23","2.8"
"000442","Manchester Local","Adams","Region 14","Longevity1to2","77.8","72.2","--","--","87.5","81.3","87.5",">95.0","80.0","--","--","--","--","--",">95.0",">95.0","90.0",">95.0","70.0","--","--","--","--","--","94.2","--","--","273","33.5"
"000442","Manchester Local","Adams","Region 14","Longevity3orMore","89.1","78.3","84.6","73.1","56.3","52.1","62.5","90.4","78.8","85.7","73.0",">95.0","82.1","89.3",">95.0",">95.0",">95.0",">95.0","83.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","519","63.7"
"043489","Akron City","Summit","Region 8","Longevity0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","19.4","15.8","666","3.1"
"043489","Akron City","Summit","Region 8","Longevity1to2","68.5","64.0","72.7","58.6","48.9","41.8","40.3","63.2","44.2","57.7","38.6","65.0","52.0","29.4","69.5","54.8","66.5","59.4","49.0","83.9","78.6","81.3","76.0","66.2","93.4","62.3","59.9","8964","42.2"
"043489","Akron City","Summit","Region 8","Longevity3orMore","74.8","70.0","76.2","65.4","59.7","55.1","55.2","68.5","50.2","69.3","51.5","76.0","62.9","42.1","79.5","66.1","76.9","69.5","59.3","89.4","82.7","87.8","82.1","75.4","94.0","84.8","88.8","11635","54.7"
"043497","Alliance City","Stark","Region 9","Longevity0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","50.0","97","3.6"
"043497","Alliance City","Stark","Region 9","Longevity1to2","87.2","82.1","79.2","66.7","57.9","62.2","55.3","80.0","66.7","74.4","61.5","75.0","81.8","43.2","80.5","63.4","78.0","68.3","61.0","91.9","83.8","86.5","91.9","83.8","93.9","81.6","76.5","970","35.8"
"043497","Alliance City","Stark","Region 9","Longevity3orMore","71.1","81.1","74.1","66.5","60.0","59.9","57.2","79.8","64.2","75.5","62.8","88.5","87.3","62.8","88.3","78.1","85.4","79.6","67.2","90.6","88.3","89.1","90.6","85.9","94.8","91.0","88.6","1643","60.6"
"043505","Ashland City","Ashland","Region 7","Longevity0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","59","1.8"
