"District IRN","District Name","County","Region","Teachers Attendance Rate 2013-14","Average Years of Teacher Experience","Average Number of Full Time Teachers","Average Teacher Salary","Average Number of Full Time Teachers Who Have At Least a Bachelors","% of Teachers Who Have At Least a Bachelors","Average Number of Full Time Teachers Who Have At Least a Masters","% of Teachers Who Have At Least a Masters","% of Core Courses Taught by a Properly Certified Teacher","# of Core Courses Taught by a Properly Certified Teacher","Total # of Core Courses","% of Core Courses Taught by a Highly Qualified Teacher","# of Core Courses Taught by a Highly Qualified Teacher","% of Core Courses Taught by Teacher with a Temporary Certificate","# of Core Courses Taught by Teacher with a Temporary Certificate"
"000442","Manchester Local","Adams","Region 14","96","13","58","53731","58","100.0","34","58.9","100","225.0","225.0","100.0","225.0","0","0.0"
"043489","Akron City","Summit","Region 8","97.6","11","1382","63413","1339","96.9","858","62.1","94.8","6927.0","7308.0","98.6","7209.0","0","0.0"
"043497","Alliance City","Stark","Region 9","95.9","9","215","51936","211","98.1","126","58.8","98.9","743.0","751.0","98.7","741.0","0","0.0"
"043505","Ashland City","Ashland","Region 7","95.4","15","225","50564","223","99.1","159","70.7","99.4","903.0","908.0","100.0","908.0","0","0.0"
"043513","Ashtabula Area City","Ashtabula","Region 5","95.3","15","199","52712","199","100.0","152","76.4","100","992.0","992.0","100.0","992.0","0","0.0"
"043521","Athens City","Athens","Region 16","93.7","16","204","58138","204","100.0","153","75.2","98.8","1083.0","1096.0","99.7","1093.0","0","0.0"
"043539","Barberton City","Summit","Region 8","94.5","16","218","58936","218","100.0","167","76.6","99.8","1183.0","1185.0","100.0","1185.0","0","0.0"
"043547","Bay Village City","Cuyahoga","Region 3","96.4","10","158","69341","158","100.0","123","78.1","100","804.0","804.0","100.0","804.0","0","0.0"
"043554","Beachwood City","Cuyahoga","Region 3","95.5","14","135","81672","135","99.8","113","83.6","99.3","756.0","761.0","99.9","760.0","0","0.0"
"043562","Bedford City","Cuyahoga","Region 3","96.4","12","228","63709","223","97.8","109","47.6","100","1372.0","1372.0","100.0","1372.0","0","0.0"
"043570","Bellaire Local","Belmont","Region 12","93.3","13","75","43933","75","100.0","54","71.8","95","341.0","359.0","98.9","355.0","0","0.0"
"043588","Bellefontaine City","Logan","Region 6","95.5","15","174","49422","174","100.0","125","71.7","100","658.0","658.0","99.7","656.0","0","0.0"
"043596","Bellevue City","Huron","Region 2","96","17","125","54695","125","100.0","77","61.7","99.7","582.0","584.0","100.0","584.0","0","0.0"
"043604","Belpre City","Washington","Region 16","94.8","4","57","49397","56","98.3","40","70.4","100","389.0","389.0","100.0","389.0","0","0.0"
"043612","Berea City","Cuyahoga","Region 3","95.3","17","428","64463","428","100.0","264","61.6","100","2302.0","2302.0","99.5","2290.0","0","0.0"
"043620","Bexley City","Franklin","Region 11","95.2","18","155","75815","155","100.0","128","82.8","100","709.0","709.0","100.0","709.0","0","0.0"
"043638","Bowling Green City","Wood","Region 1","96.6","14","173","60437","173","100.0","132","76.1","100","763.0","763.0","100.0","763.0","0","0.0"
"043646","Brecksville-Broadview Heights City","Cuyahoga","Region 3","95.1","11","222","77155","216","96.9","182","81.9","100","1278.0","1278.0","99.8","1276.0","0","0.0"
"043653","Brooklyn City","Cuyahoga","Region 3","99.7","7","92","60723","92","100.0","54","58.4","100","506.0","506.0","100.0","506.0","0","0.0"
"043661","Brunswick City","Medina","Region 8","96.9","12","394","59805","393","99.7","276","70.1","100","1855.0","1855.0","100.0","1855.0","0","0.0"
"043679","Bryan City","Williams","Region 1","94.6","15","140","51417","140","100.0","98","70.1","99.9","696.0","697.0","100.0","697.0","0","0.0"
