"School IRN","School Name","District IRN","District Name","County","Org Type","Grade Span","Open/Closed Status as of 9/1/2014","No. Third graders enrolled at end of school year and accountable to school","Perc. Exempt from TGRG promotion threshold","No. Subject to TGRG promotion threshold","Perc. Met promotion threshold","Perc. Did not meet promotion threshold"
"029520","Peebles Elementary School","061903","Adams County/Ohio Valley Local","Adams","Traditional School","K-6,P","Open","94.0","0.05319148936170213","89.0","1.0","0.0"
"033936","North Adams Elementary School","061903","Adams County/Ohio Valley Local","Adams","Traditional School","K-6,P","Open","91.0","0.054945054945054944","86.0","1.0","0.0"
"038885","West Union Elementary School","061903","Adams County/Ohio Valley Local","Adams","Traditional School","K-6,P","Open","100.0","0.0","100.0","0.99","0.01"
"012120","Franklin Elementary School","043885","Delphos City","Allen","Traditional School","K-5","Open","60.0","0.08333333333333333","55.0","1.0","0.0"
"019760","Landeck Elementary School","043885","Delphos City","Allen","Traditional School","1-5","Open","27.0","0.0","27.0","1.0","0.0"
"000470","Independence Elementary School","044222","Lima City","Allen","Traditional School","K-4","Open","68.0","0.08823529411764706","62.0","0.9516129032258065","0.04838709677419355"
"000472","Liberty Arts Magnet K-8","044222","Lima City","Allen","Traditional School","K-8","Open","46.0","0.0","46.0","1.0","0.0"
"035097","Lima South Science-Technology Magnet K-8","044222","Lima City","Allen","Traditional School","K-8","Open","22.0","0.045454545454545456","21.0","0.9523809523809523","0.047619047619047616"
"146035","Unity Elementary School","044222","Lima City","Allen","Traditional School","K-4","Open","18.0","0.2777777777777778","13.0","1.0","0.0"
"146043","Freedom Elementary School","044222","Lima City","Allen","Traditional School","K-4,P","Open","53.0","0.20754716981132076","42.0","0.9523809523809523","0.047619047619047616"
"146050","Heritage Elementary School","044222","Lima City","Allen","Traditional School","K-4","Open","68.0","0.10294117647058823","61.0","0.9016393442622951","0.09836065573770492"
"003020","Bluffton Elementary School","045211","Bluffton Exempted Village","Allen","Traditional School","K-5","Open","90.0","0.011111111111111112","89.0","1.0","0.0"
"000448","Allen East Elementary School","045757","Allen East Local","Allen","Traditional School","K-6","Open","81.0","0.037037037037037035","78.0","1.0","0.0"
"001743","Bath Elementary School","045765","Bath Local","Allen","Traditional School","K-4","Open","154.0","0.032467532467532464","149.0","1.0","0.0"
"036350","Elida Elementary","045773","Elida Local","Allen","Traditional School","K-4","Open","212.0","0.06132075471698113","199.0","0.9949748743718593","0.005025125628140704"
"029686","Perry Elementary School","045781","Perry Local","Allen","Traditional School","K-6","Open","62.0","0.016129032258064516","61.0","0.8524590163934426","0.14754098360655737"
"064303","Maplewood Elementary School","045799","Shawnee Local","Allen","Traditional School","3-4","Open","164.0","0.012195121951219513","162.0","1.0","0.0"
"035337","Spencerville Elementary School","045807","Spencerville Local","Allen","Traditional School","K-4","Open","70.0","0.02857142857142857","68.0","0.9705882352941176","0.029411764705882353"
"000288","Auglaize County Educational Academy","","","Allen","Community School","K-12","Open","--","--","--","--","--"
"000613","Heir Force Community School","","","Allen","Community School","K-8","Open","34.0","0.0","34.0","0.9411764705882353","0.058823529411764705"
"010025","Edison Primary School North","043505","Ashland City","Ashland","Traditional School","K-3","Open","119.0","0.10084033613445378","107.0","0.9906542056074766","0.009345794392523364"
