"District IRN","District Name","County","No. Third graders enrolled at end of school year and accountable to district","Perc. Exempt from TGRG promotion threshold","No. Subject to TGRG promotion threshold","Perc. Met promotion threshold","No. Did not meet promotion threshold"
"000442","Manchester Local","Adams","64.0","0.046875","61.0","1.0","0.0"
"045757","Allen East Local","Allen","81.0","0.037037037037037035","78.0","1.0","0.0"
"045765","Bath Local","Allen","154.0","0.032467532467532464","149.0","1.0","0.0"
"045211","Bluffton Exempted Village","Allen","90.0","0.011111111111111112","89.0","1.0","0.0"
"043885","Delphos City","Allen","87.0","0.05747126436781609","82.0","1.0","0.0"
"045773","Elida Local","Allen","212.0","0.06132075471698113","199.0","0.9949748743718593","0.005025125628140704"
"044222","Lima City","Allen","283.0","0.10600706713780919","253.0","0.9446640316205533","0.05533596837944664"
"045781","Perry Local","Allen","62.0","0.016129032258064516","61.0","0.8524590163934426","0.14754098360655737"
"045799","Shawnee Local","Allen","164.0","0.012195121951219513","162.0","1.0","0.0"
"045807","Spencerville Local","Allen","70.0","0.02857142857142857","68.0","0.9705882352941176","0.029411764705882353"
"043505","Ashland City","Ashland","219.0","0.0639269406392694","205.0","0.9951219512195122","0.004878048780487805"
"045823","Hillsdale Local","Ashland","73.0","0.0273972602739726","71.0","1.0","0.0"
"045468","Loudonville-Perrysville Exempted Village","Ashland","73.0","0.0136986301369863","72.0","1.0","0.0"
"045831","Mapleton Local","Ashland","63.0","0.047619047619047616","60.0","1.0","0.0"
"043513","Ashtabula Area City","Ashtabula","247.0","0.12550607287449392","216.0","0.9351851851851852","0.06481481481481481"
"045856","Buckeye Local","Ashtabula","136.0","0.029411764705882353","132.0","0.9621212121212122","0.03787878787878788"
"043810","Conneaut Area City","Ashtabula","123.0","0.016260162601626018","121.0","1.0","0.0"
"044057","Geneva Area City","Ashtabula","163.0","0.05521472392638037","154.0","0.948051948051948","0.05194805194805195"
"045864","Grand Valley Local","Ashtabula","101.0","0.0594059405940594","95.0","0.9894736842105263","0.010526315789473684"
"045872","Jefferson Area Local","Ashtabula","125.0","0.064","117.0","0.9914529914529915","0.008547008547008548"
"045880","Pymatuning Valley Local","Ashtabula","104.0","0.04807692307692308","99.0","0.9191919191919192","0.08080808080808081"
"045906","Alexander Local","Athens","122.0","0.08196721311475409","112.0","1.0","0.0"
"043521","Athens City","Athens","175.0","0.06285714285714286","164.0","0.9939024390243902","0.006097560975609756"
"045914","Federal Hocking Local","Athens","82.0","0.08536585365853659","75.0","1.0","0.0"
"044446","Nelsonville-York City","Athens","87.0","0.06896551724137931","81.0","0.9876543209876543","0.012345679012345678"
"045922","Trimble Local","Athens","57.0","0.22807017543859648","44.0","0.9318181818181818","0.06818181818181818"
"045948","Minster Local","Auglaize","55.0","0.01818181818181818","54.0","1.0","0.0"
"045955","New Bremen Local","Auglaize","63.0","0.06349206349206349","59.0","1.0","0.0"
"045963","New Knoxville Local","Auglaize","21.0","0.0","21.0","1.0","0.0"
"044727","St Marys City","Auglaize","152.0","0.06578947368421052","142.0","1.0","0.0"
"044982","Wapakoneta City","Auglaize","254.0","0.047244094488188976","242.0","0.9958677685950413","0.004132231404958678"
"045971","Waynesfield-Goshen Local","Auglaize","35.0","0.0","35.0","1.0","0.0"
"045203","Barnesville Exempted Village","Belmont","104.0","0.04807692307692308","99.0","0.98989898989899","0.010101010101010102"
"043570","Bellaire Local","Belmont","95.0","0.010526315789473684","94.0","1.0","0.0"
"045237","Bridgeport Exempted Village","Belmont","56.0","0.07142857142857142","52.0","0.9423076923076923","0.057692307692307696"
"044347","Martins Ferry City","Belmont","96.0","0.020833333333333332","94.0","0.9680851063829787","0.031914893617021274"
"046003","Shadyside Local","Belmont","54.0","0.037037037037037035","52.0","1.0","0.0"
"045997","St Clairsville-Richland City","Belmont","101.0","0.019801980198019802","99.0","0.9797979797979798","0.020202020202020204"
"046011","Union Local","Belmont","103.0","0.04854368932038835","98.0","0.9795918367346939","0.02040816326530612"
"046037","Eastern Local","Brown","94.0","0.05319148936170213","89.0","0.9550561797752809","0.0449438202247191"
