"School IRN","School Name","Street Address","City","State","Postal Code","Virtual","Avg Grade","Public Funding","% Spent in Classroom","Avg Teacher Experience"
"143636","World Collegiate Preparatory School","1465 Oakland Park Ave","Columbus","OH","43224-3509","Site Based","F","803001.05","82.34","1"
"009122","Columbus Collegiate Academy","1469 E Main St","Columbus","OH","43205-2152","Site Based","D","1203746.56","80.44","0"
"149336","Southwest Licking Digital Acad","927-A","Pataskala","OH","43062","Site Based","NR","205339.14","75.30","--"
"011390","Bella Academy of Excellence","19114 Bella Dr","Cleveland","OH","44119-3007","Site Based","F","2871653.87","50.00","3"
"009909","Constellation Schools: Mansfield Community Middle","5730 Broadview Rd","Parma","OH","44134-1602","Site Based","F","924689.90","93.39","0"
"142968","Hope Academy Northcoast","4310 E 71st St","Cleveland","OH","44105-5759","Site Based","F","2148633.38","97.45","3"
"012557","Woodland Academy","10615 Lamontier Ave","Cleveland","OH","44104-4847","Site Based","F","2948070.49","70.49","1"
"012556","Pearl Academy","4850 Pearl Rd","Cleveland","OH","44109-5135","Site Based","F","1971721.76","85.45","1"
"012558","Global Village Academy","5720 State Rd","Parma","OH","44134-2564","Site Based","A","606001.32","86.68","7"
"007984","Youngstown Academy of Excellence","1408 Rigby St","Youngstown","OH","44506-1617","Site Based","F","1639579.27","89.36","5"
"133348","Richard Allen Preparatory","627 Salem Ave","Dayton","OH","45406-5822","Site Based","NR","1214280.62","98.70","6"
"143172","International Acad Of Columbus","1201 Shrock Ct","Columbus","OH","43229","Site Based","D","1518294.76","91.58","1"
"133520","Citizens Academy","10118 Hampden Ave","Cleveland","OH","44108-3538","Site Based","A","3076761.67","64.80","0"
"143198","Great Western Academy","310 N Wilson Rd","Columbus","OH","43204-6221","Site Based","F","5514498.98","82.57","6"
"000318","Menlo Park Academy","14440 Triskett Rd","Cleveland","OH","44111-2263","Site Based","A","1986394.72","89.18","5"
"000319","Constellation Schools: Madison Community Elementary","2015 W 95th St","Cleveland","OH","44102-3727","Site Based","F","2208293.57","90.21","0"
"000316","Constellation Schools: Westpark Community Middle","5730 Broadview Rd","Parma","OH","44134-1602","Site Based","F","1515349.14","90.17","1"
"000311","Bridges Community Academy","190 St Francis Ave","Tiffin","OH","44883-3475","Site Based","A","1008099.06","91.10","0"
"151142","Lorain High School Digital","1800 West 40th Street","Lorain","OH","44053","Site Based","F","893013.30","90.73","0"
"000222","Wildwood Environmental Academy","1546 Dartford Rd","Maumee","OH","43537-1374","Site Based","F","2307241.16","89.84","4"
"011948","Imagine Cleveland Academy","3443 E 93rd St","Cleveland","OH","44104-5252","Site Based","F","1566247.80","97.87","2"
"011947","Imagine Akron Academy","1585 Frederick Blvd","Akron","OH","44320-4000","Site Based","NR","751918.57","97.32","3"
"011381","Greater Summit County Early Learning Center","2141 Pickle Rd","Akron","OH","44312-4221","Site Based","A","597407.78","97.61","0"
"000138","Pathway School of Discovery","173 Avondale Dr","Dayton","OH","45404-2123","Site Based","D","4808343.80","92.68","6"
"000139","Alliance Academy of Cincinnati","1712 Duck Creek Rd","Cincinnati","OH","45207-1644","Site Based","F","2193061.15","90.49","3"
"008064","Academy of Arts and Sciences","201 W Erie Ave","Lorain","OH","44052-1641","Site Based","D","1699565.63","82.27","3"
"008061","Arts and Science Preparatory Academy","2711 Church Ave","Cleveland","OH","44113-2909","Site Based","F","1182824.53","84.81","2"
"007995","Cleveland Arts and Social Sciences Academy","10701 Shaker Blvd","Cleveland","OH","44104-3752","Site Based","C","2500380.15","86.08","2"
"007999","Charles School at Ohio Dominican University","3950 Indianola Ave","Columbus","OH","43214-3158","Site Based","A","2341886.39","96.85","2"
"012010","Cleveland College Preparatory School","4906 Fleet Ave","Cleveland","OH","44105-3328","Site Based","F","2082622.22","84.90","3"
"012011","Columbus Performance Academy","2 Easton Oval Ste 525","Columbus","OH","43219-7008","Site Based","F","1148948.97","100.00","0"
"013059","West Carrollton Secondary Academy","3400 W Alex Bell Rd","West","OH","45449-2819","Site Based","NR","273024.24","82.54","--"
"000417","Buckeye On-Line School for Success","119 E Fifth St","East Liverpool","OH","43920-3030","Site Based","F","7864039.31","89.40","12"
"143503","Lake Erie Academy","2740 W Central Ave","Toledo","OH","43606-3452","Site Based","F","2047281.74","83.64","6"
"000305","Summit Academy Community School-Warren","2106 Arbor Ave SE","Warren","OH","44484-5225","Site Based","F","1627302.14","96.95","4"
"000304","Summit Academy Community School-Toledo","1853 South Ave","Toledo","OH","43609-2086","Site Based","F","1689371.58","97.45","1"
"000306","Summit Academy Community School - Cincinnati","1660 Sternblock Ln","Cincinnati","OH","45237-3805","Site Based","F","1791479.27","97.01","1"
"000301","Summit Academy Secondary - Lorain","1051 E St","Lorain","OH","44052-2134","Site Based","F","980954.72","96.93","3"
"000300","Summit Academy Secondary - Canton","2400 Cleveland Ave NW","Canton","OH","44709-3613","Site Based","F","1097227.06","96.80","1"
"000303","Summit Academy Secondary - Youngstown","1400 Oak Hill Ave","Youngstown","OH","44507-1018","Site Based","F","3464038.75","96.85","5"
"000302","Summit Academy Community School-Parma","5868 Stumph Rd","Parma","OH","44130-1736","Site Based","F","3331564.81","96.84","4"
"000781","Cincinnati Speech & Reading Intervention Center","1812 Central Pkwy","Cincinnati","OH","45214-2304","Site Based","F","1585534.52","85.10","0"
"000780","Midnimo Cross Cultural Community School","1500 W 3rd Ave Ste 125","Columbus","OH","43212-2883","Site Based","F","527873.92","81.56","3"
"000784","Academy of Columbus","4656 Heaton Rd","Columbus","OH","43229-6612","Site Based","F","2268489.73","87.05","1"
"000236","Ohio Connections Academy, Inc","3740 Euclid Ave Ste 101","Cleveland","OH","44115-2229","Site Based","D","19175763.86","82.70","7"
"011972","Graham Expeditionary Middle School","3950 Indianola Ave","Columbus","OH","43214-3167","Site Based","F","1110320.61","95.21","4"
"011976","Horizon Science Academy Dayton Downtown","121 S Monmouth St","Dayton","OH","45403-2127","Site Based","F","1524549.31","90.76","3"
"142901","Life Skills Center  of Canton","1100 Cleveland Ave NW","Canton","OH","44702-1816","Site Based","D","871752.74","82.84","9"
"008278","Noble Academy-Cleveland","1200 E 200th St","Euclid","OH","44117-1111","Site Based","D","2015913.59","89.14","2"
"012951","Columbus Collegiate Academy - West","300 Dana Ave","Columbus","OH","43223-1310","Site Based","F","478429.56","75.84","0"
"012009","Zenith Academy East","2261 S Hamilton Rd","Columbus","OH","43232-4301","Site Based","F","1577856.66","95.77","0"
"012002","College Hill Leadership Academy","745 Derby Ave","Cincinnati","OH","45232-1836","Site Based","NR","570069.28","79.63","0"
"134148","Aurora Academy","541 Utah St","Toledo","OH","43605-2299","Site Based","F","1208837.21","82.02","0"
"134098","Constellation Schools: Old Brooklyn Community Elementary","4430 State Rd","Cleveland","OH","44109-4705","Site Based","A","2252574.78","90.11","0"
"013198","Brookwood Academy","2685 E Livingston Ave","Columbus","OH","43209-2961","Site Based","F","2666840.27","92.26","0"
"013199","Nexus Academy of Cleveland","3615 Superior Ave E Bldg 44","Cleveland","OH","44114-4138","Site Based","F","304942.88","83.18","24"
"013195","Academy of Educational Excellence","4747 Heatherdowns Blvd.","Toledo","OH","43614","Site Based","NR","375738.43","82.04","0"
"133322","Summit Academy Community School Alternative Learners-Lorain","2140 E 36th St","Lorain","OH","44055-2756","Site Based","F","2410076.39","97.20","4"
"133256","Constellation Schools: Parma Community","7667 Day Dr Fl 1ST","Parma","OH","44129-5603","Site Based","C","6582158.92","90.16","1"
"000938","Premier Academy of Ohio","1555 Elaine Rd","Columbus","OH","43227-2347","Site Based","F","830670.10","80.09","5"
"000420","Columbus Bilingual Academy","35 Midland Ave","Columbus","OH","43223-1064","Site Based","F","715144.12","85.01","0"
"000930","Cleveland Entrepreneurship Preparatory School","1417 E 36th St Fl 2","Cleveland","OH","44114-4116","Site Based","D","1798413.85","79.23","5"
"143537","Virtual Community School Of Ohio","4480 Refugee Rd","Columbus","OH","43232-4459","Site Based","F","7846712.72","87.63","12"
"132787","Springfield Academy of Excellence","623 S Center St","Springfield","OH","45506-2209","Site Based","F","1786228.75","90.30","4"
"000338","Horizon Science Academy Toledo","2600 W Sylvania Ave","Toledo","OH","43613-4300","Site Based","F","3652477.52","89.78","4"
"133819","Hope Academy Lincoln Park","4215 Robert Ave","Cleveland","OH","44109-1255","Site Based","F","1694153.04","96.44","5"
"151167","Ridgedale Community School","3103 Hillman Ford Rd","Morral","OH","43337-9302","Site Based","F","277631.06","86.32","0"
"011967","Richland Academy School of Excellence","75 N Walnut St","Mansfield","OH","44902-1211","Site Based","D","1080752.64","82.31","0"
"010182","Performance Academy Eastland","2220 S Hamilton Rd","Columbus","OH","43232-4304","Site Based","F","1723577.95","100.00","0"
"010180","Mount Auburn International Academy","244 Southern Ave","Cincinnati","OH","45219-3023","Site Based","F","3259616.93","93.63","1"
