"School IRN","Name","Address","City","State","Postal Code","Virtual","Open Status","County","Sponsor","Operator","Organization Status","Years in operation","Grades Served","Specialization","Avg Teacher Exp","% of teachers with masters degrees","Teacher attendance %","# of students","# of FT teachers","Student-teacher ratio","% of kids in poverty","% of kids with special needs","% gifted","% white","% non-white","% enrolled less than 3 years","Letter grade standards met","Letter grade performance index","Performance index score","Letter grade overall value-add","Letter grade gifted value-add","Letter grade disabled value-add","Letter grade lowest 20% value-add","Letter grade of AMO","Attendance rate","Graduation rate","State Funding per Student","% Spent in Classroom","% Spent on Administration","Third Grade Reading Student Count","Third Grade Reading Student Count At or Above 392","Third Grade Reading Percentage","Read 3rd Grade % at or above Proficient","Letter grade of four year graduation rate"
"009122","Columbus Collegiate Academy","1469 E Main St","Columbus","OH","43205-2152","Site Based","Open","Franklin","Thomas B. Fordham Foundation","Freestanding","Non Profit","5","6-8","General","0","7.1","99.9","213","14","15.2",">95.0","13.1","NA","NA","NA","100.0","F","C","89.000","A","NA","C","A","F","94.4","NA","6481.51","80.4","19.6","NA","NA","NA","NA","NA"
"149336","Southwest Licking Digital Acad","927-A","Pataskala","OH","43062","ESchool                                                                ","Open","Licking","Southwest Licking Local","Freestanding","Non Profit","10","K,1-12,UNG","General","120","51.7","98.8","30","3","10.0","NA","NA","NA","90.0","10.0","100.0","NA","NA","NA","NA","NA","NA","NA","NA","84.1","NA","6510.44","75.3","24.7","NA","13","NA","NA","F"
"011390","Bella Academy of Excellence","19114 Bella Dr","Cleveland","OH","44119-3007","Site Based","Open","Cuyahoga","St Aloysius Orphanage","Imagine Schools, Inc.","For Profit","4","K-8","General","5","26.8","97.8","375","41","9.1",">95.0","11.2","NA","NA","NA","71.2","F","D","72.691","F","NA","B","D","F","94.8","NA","7018.07","50.0","50.0","52.0","46","88.5","71.9","NA"
"009909","Constellation Schools: Mansfield Community Middle","5730 Broadview Rd","Parma","OH","44134-1602","Site Based","Closed","Richland","Buckeye Community Hope Foundation","Constellation Schools, LLC","For Profit","5","4-8","General","0","45.5","98","108","11","9.8","93.5","20.4","NA","39.8","60.2","84.9","F","D","77.698","C","NA","C","C","F","93.6","NA","7431.41","93.4","6.6","NA","NA","NA","NA","NA"
"142968","Hope Academy Northcoast","4310 E 71st St","Cleveland","OH","44105-5759","Site Based","Open","Cuyahoga","St Aloysius Orphanage","White Hat Management, Inc.","For Profit","11","K-8","General","3","11.4","94.9","271","18","15.1",">95.0","15.1","NA","25.5","74.5","61.5","F","D","72.266","C","NA","D","C","F","91.5","NA","7416.75","97.4","2.6","30.0","23","76.7","45.0","NA"
"000396","Mansfield Elective Academy","445 Bowman St","Mansfield","OH","44903-1201","Site Based","Open","Richland","Mansfield City","Freestanding","Non Profit","7","K-9","General","21","91.3","92.5","36","2","18.0","94.4","27.8","NA","52.8","47.2","100.0","NA","F","54.706","D","NA","NA","C","NA","83.8","NA","7808.94","87.4","12.6","NA","NA","NA","NA","NA"
"012557","Woodland Academy","10615 Lamontier Ave","Cleveland","OH","44104-4847","Site Based","Open","Cuyahoga","Buckeye Community Hope Foundation","White Hat Management, Inc.","For Profit","2","K-12","General","1","9.3","94.9","334","38","8.8",">95.0","12.0","NA","NA","NA","100.0","F","F","58.153","F","NA","C","C","F","90.7","NA","7426.24","70.5","29.5","38.0","22","57.9","39.5","NA"
"012556","Pearl Academy","4850 Pearl Rd","Cleveland","OH","44109-5135","Site Based","Open","Cuyahoga","Buckeye Community Hope Foundation","White Hat Management, Inc.","For Profit","2","K-12","General","1","24.6","94.9","329","33","10.0","92.7","11.6","NA","46.8","53.2","100.0","F","D","75.376","F","NA","NA","F","F","90.1","NA","7185.84","85.4","14.6","32.0","16","50.0","55.3","NA"
"012558","Global Village Academy","5720 State Rd","Parma","OH","44134-2564","Site Based","Open","Cuyahoga","Portage County ESC","Freestanding","Non Profit","2","K-5","General","7","37.5","98.3","126","8","15.8","72.2","NA","NA",">95.0","<5.0","100.0","C","B","101.967","D","NA","NA","NA","A","94.8","NA","5081.77","86.7","13.3","21.0","21","100.0","100.0","NA"
"007984","Youngstown Academy of Excellence","1408 Rigby St","Youngstown","OH","44506-1617","Site Based","Open","Mahoning","Office of School Sponsorship","Mosaica Education, Inc.","For Profit","8","K-12","General","3","14.3","97.9","191","14","13.6",">95.0","19.4","NA","NA","NA","85.3","F","D","71.894","C","NA","NA","A","F","93.0","NA","8003.02","89.4","10.6","21.0","16","76.2","40.7","NA"
"133348","Richard Allen Preparatory","627 Salem Ave","Dayton","OH","45406-5822","Site Based","Open","Montgomery","Office of School Sponsorship","Institute of Charter School Management and Resources","For Profit","13","K-12","General","5","30.0","98.7","206","20","10.3",">95.0","NA","NA","NA","NA","100.0","NA","NA","NA","NA","NA","NA","NA","NA","95.6","NA","5584.70","98.7","1.3","NA","NA","NA","NA","NA"
"012391","Metro Early College High School","1929 Kenny Rd","Columbus","OH","43210-1015","Site Based","NA","Franklin","NA","NA","NA","NA","6-12","NA","2","66.7","97.5","515","24","21.5","28.7","7.4","NA","53.4","46.6","100.0","A","A","108.246","F","NA","NA","D","A","96.8","NA","6496.38","63.0","37.0","NA","NA","NA","NA","A"
"143172","International Acad Of Columbus","1201 Shrock Ct","Columbus","OH","43229","Site Based","Open","Franklin","Buckeye Community Hope Foundation","Freestanding","Non Profit","11","K-10","General","1","35.7","95.6","218","14","15.6",">95.0","9.6","NA","22.9","77.1","69.4","F","D","80.954","A","NA","NA","A","F","94.5","NA","7316.38","91.6","8.4","18.0","16","88.9","73.7","NA"
"133520","Citizens Academy","10118 Hampden Ave","Cleveland","OH","44108-3538","Site Based","Open","Cuyahoga","Cleveland Municipal","Breakthrough Charter Schools","Non Profit","14","K-5","General","3","34.0","97.9","443","47","9.4",">95.0","10.6","NA","NA","NA","100.0","D","B","97.829","A","NA","F","C","B","93.6","NA","7366.49","64.8","35.2","67.0","67","100.0","95.6","NA"
"143198","Great Western Academy","310 N Wilson Rd","Columbus","OH","43204-6221","Site Based","Open","Franklin","Buckeye Community Hope Foundation","Imagine Schools, Inc.","For Profit","11","K-8","General","6","23.1","97.3","744","39","19.1",">95.0","9.3","NA","34.9","65.1","100.0","F","D","75.430","F","NA","C","F","F","94.0","NA","6739.38","82.6","17.4","92.0","59","64.1","56.3","NA"
"000318","Menlo Park Academy","14440 Triskett Rd","Cleveland","OH","44111-2263","Site Based","Open","Cuyahoga","ESC of Lake Erie West","Constellation Schools, LLC","For Profit","9","K-12","General","4","50.4","99","339","27","12.6","NA","4.7",">95.0","80.2","19.8","61.9","A","A","113.707","D","F","NA","NA","A","96.2","NA","6099.97","89.2","10.8","37.0","37","100.0","100.0","NA"
"000319","Constellation Schools: Madison Community Elementary","2015 W 95th St","Cleveland","OH","44102-3727","Site Based","Open","Cuyahoga","ESC of Lake Erie West","Constellation Schools, LLC","For Profit","9","K-12","General","0","46.0","97.6","299","25","12.0","93.6","12.0","NA","36.1","63.9","63.7","F","D","83.848","C","NA","B","B","F","93.3","NA","7419.34","90.2","9.8","27.0","21","77.8","74.3","NA"
"000316","Constellation Schools: Westpark Community Middle","5730 Broadview Rd","Parma","OH","44134-1602","Site Based","Open","Cuyahoga","Buckeye Community Hope Foundation","Constellation Schools, LLC","For Profit","8","5-9","General","1","41.4","98.9","213","15","14.2","55.4","16.4","NA","60.6","39.4","87.1","F","C","87.095","C","NA","C","C","F","94.2","NA","7131.39","90.2","9.8","NA","NA","NA","NA","NA"
"000311","Bridges Community Academy","190 St Francis Ave","Tiffin","OH","44883-3475","Site Based","Open","Seneca","Seneca East Local","Freestanding","Non Profit","9","K-12","General","0","56.0","95.1","127","13","9.8","74.8","16.5","17.3","79.5","20.5","60.0","D","D","82.500","B","NA","NA","B","F","94.4","NA","7921.57","91.1","8.9","NA","33","NA","NA","C"
"151142","Lorain K-12 Digital Academy","1800 West 40th Street","Lorain","OH","44053","ESchool                                                                ","Open","Lorain","Lorain City","Freestanding","Non Profit","10","K-12","General","0","0.0","0.0","178","0","NA","NA","16.3","NA","34.3","65.7","100.0","D","D","69.375","NA","NA","NA","NA","F","85.0","NA","5871.22","90.7","9.3","NA","15","NA","NA","F"
"000222","Wildwood Environmental Academy","1546 Dartford Rd","Maumee","OH","43537-1374","Site Based","Open","Lucas","Ohio Council of Community Schools","The Leona Group, LLC","For Profit","9","K-12","General","4","7.7","98.9","317","26","12.2","66.9","22.7","NA","65.6","34.4","77.0","F","C","89.263","F","NA","D","D","F","94.6","NA","7921.04","89.8","10.2","26.0","24","92.3","81.5","F"
"011948","Imagine Cleveland Academy","3443 E 93rd St","Cleveland","OH","44104-5252","Site Based","Open","Portage","Portage County ESC","Imagine Schools, Inc.","For Profit","3","K-6","General","2","13.3","0.0","198","15","13.2",">95.0","14.1","NA","NA","NA","100.0","F","D","69.167","C","NA","A","C","F","91.9","NA","7404.38","97.9","2.1","14.0","8","57.1","26.7","NA"
"011947","Imagine Akron Academy","1585 Frederick Blvd","Akron","OH","44320-4000","Site Based","Open","Summit","Portage County ESC","Imagine Schools, Inc.","For Profit","3","K-6","General","3","0.0","0.0","74","8","9.2",">95.0","NA","NA","NA","NA","100.0","NA","NA","NA","NA","NA","NA","NA","NA","92.0","NA","7180.28","97.3","2.7","NA","NA","NA","NA","NA"
"011381","Greater Summit County Early Learning Center","2141 Pickle Rd","Akron","OH","44312-4221","Site Based","Open","Summit","Summit County ESC","Freestanding","Non Profit","4","K-4","General","1","25.0","99.3","113","8","14.1","28.3","NA","NA","85.8","14.2","81.2","A","A","111.111","C","NA","NA","NA","NA","96.6","NA","6169.02","97.6","2.4","10.0","10","100.0","100.0","NA"
"000138","Pathway School of Discovery","173 Avondale Dr","Dayton","OH","45404-2123","Site Based","Open","Montgomery","ESC of Lake Erie West","National Heritage Academies","For Profit","10","K-8","General","6","65.1","100","719","37","19.4","74.8","10.4","NA","65.4","34.6","100.0","F","C","95.470","C","NA","D","C","C","95.2","NA","6435.06","92.7","7.3","84.0","78","92.9","89.5","NA"
"000139","Alliance Academy of Cincinnati","1712 Duck Creek Rd","Cincinnati","OH","45207-1644","Site Based","Open","Hamilton","ESC of Lake Erie West","National Heritage Academies","For Profit","10","K-8","General","5","43.5","100","356","23","15.5",">95.0","10.7","NA","NA","NA","100.0","F","D","83.687","F","NA","NA","C","F","94.1","NA","6985.83","90.5","9.5","42.0","36","85.7","73.3","NA"
"008064","Academy of Arts and Sciences","201 W Erie Ave","Lorain","OH","44052-1641","Site Based","Open","Lorain","St Aloysius Orphanage","Mosaica Education, Inc.","For Profit","8","K-12","General","6","6.3","97.1","243","16","15.2","94.7","12.3","NA","23.9","76.1","100.0","NA","NA","0.000","NA","NA","NA","NA","NA","91.4","NA","7367.63","82.3","17.7","NA","NA","NA","NA","NA"
"008065","Imani Learning Academy","728 Parkside Blvd","Toledo","OH","43607-3858","Site Based","Closed","Lucas","Ohio Council of Community Schools","Freestanding","Non Profit","8","K-8","General","3","20.0","96.1","140","10","14.0",">95.0","9.3","NA","NA","NA","65.9","F","D","71.844","C","NA","NA","D","F","94.4","NA","7263.99","92.2","7.8","13.0","8","61.5","53.8","NA"
"008061","Arts and Science Preparatory Academy","2711 Church Ave","Cleveland","OH","44113-2909","Site Based","Closed","Cuyahoga","St Aloysius Orphanage","Mosaica Education, Inc.","For Profit","8","K-12","General","3","18.8","97.5","98","8","12.2",">95.0","12.2","NA","NA","NA","100.0","F","D","80.750","A","NA","NA","NA","F","91.0","NA","7445.24","84.8","15.2","16.0","12.0","75.0","69.2","NA"
"007995","Cleveland Arts and Social Sciences Academy","10701 Shaker Blvd","Cleveland","OH","44104-3752","Site Based","Open","Cuyahoga","Ohio Council of Community Schools","Mosaica Education, Inc.","For Profit","8","K-12","General","5","4.8","97.2","287","21","13.7","44.9","11.5","NA","NA","NA","73.4","D","C","92.659","A","NA","NA","A","F","94.0","NA","7240.97","86.1","13.9","35.0","31","88.6","70.0","NA"
"007999","Charles School at Ohio Dominican University","3950 Indianola Ave","Columbus","OH","43214-3158","Site Based","Open","Franklin","ESC of Central Ohio","Freestanding","Non Profit","6","9-12","General","2","50.0","100","357","20","17.9","71.1","12.0","NA","20.2","79.8","83.5","A","B","99.238","NA","NA","NA","NA","F","92.9","NA","6358.29","96.8","3.2","NA","NA","NA","NA","F"
"012010","Cleveland College Preparatory School","4906 Fleet Ave","Cleveland","OH","44105-3328","Site Based","Open","Cuyahoga","Educational Resource Consultants of Ohio","Freestanding","Non Profit","3","K-8","General","3","32.8","99.8","275","16","17.2",">95.0","12.7","NA","8.7","91.3","100.0","F","C","87.851","C","NA","C","B","F","91.2","NA","7354.41","84.9","15.1","26.0","24","92.3","85.2","NA"
