"District IRN","Name","Address","City","State","Postal Code","Avg Teacher Exp","% of teachers with masters degrees","Teacher attendance %","# of students","# of FT teachers","Student-teacher ratio","% of kids in poverty","% of kids with special needs","% gifted","% white","% non-white","% enrolled less than 3 years","Letter grade standards met","Letter grade performance index","Performance index score","Letter grade overall value-add","Letter grade gifted value-add","Letter grade disabled value-add","Letter grade lowest 20% value-add","Letter grade of AMO","Attendance rate","Graduation rate","State Funding per Student","Charter cost per student","Charter cost per classroom","% Spent in Classroom","% Spent on Administration","Community School Transfer","Funding per Student","Third Grade Reading Student Count","Third Grade Reading Student Count At or Above 392","Third Grade Reading Percentage","Read 3rd Grade % at or above Proficient","TOTAL CALCULATED STATE FUNDING","TOTAL ADDITIONAL AID ITEMS","TOTAL ADM","Letter grade of four year graduation rate"
"049957","Tuslaw Local","1835 Manchester Ave NW","Massillon","OH","44647-9623","17","61.5","96.5","1383.0","87","15.9","26.8","13.7","17.4",">95.0","<5.0","31.3","A","B","102.656","B","B","B","C","B","95.8","95.2","4085.51","98.00","2450.02","94.0","6.0","-203837.12","4267.907696772519","94.0","94","100.0","100.0","5479339","108974","1309","A"
"048132","Clearview Local","4700 Broadway","Lorain","OH","44052-5542","10","55.9","95","1725.0","94","18.4","63.9","11.1","13.0","45.9","54.1","44.5","D","C","95.531","A","C","A","B","D","93.9","90.5","6004.47","150.91","3772.67","92.7","7.3","-582408.16","6220.456483647308","112.0","104","92.9","92.9","7335729","83845","1193","B"
"048421","Pleasant Local","1107 Owens Rd W","Marion","OH","43302-8421","13","48.9","96.3","1314.0","88","14.9","27.5","8.3","18.8","92.9","7.1","41.9","C","B","101.557","B","A","C","C","D","96.0","94.6","2847.66","342.10","8552.62","93.0","7.0","-727549.78","3214.1057239287975","80.0","79","98.8","98.8","3729282","22800","1167","A"
"049791","Hardin-Houston Local","5300 Houston Rd","Houston","OH","45333-8630","23","68.3","95.9","931.0","54","17.2","38.7","13.2","6.1",">95.0","<5.0","38.5","B","B","98.66","F","D","B","C","B","96.8","89.7","4613.40","17.17","429.31","92.9","7.1","-70282.65","4755.181208426336","69.0","69","100.0","100.0","4171314","110774","901","B"
"044487","New Philadelphia City","248 Front Ave SW","New Philadelphia","OH","44663-2150","13","66.6","95.7","2869.0","208","13.8","40.4","16.1","25.5","88.2","11.8","38.0","C","B","99.039","D","D","A","B","F","95.1","90.6","2788.72","151.07","3776.69","92.9","7.1","-899402.23","3057.5177343450014","191.0","191","100.0","100.0","9277862","357079","3151","B"
"049817","Russia Local","100 School St","Russia","OH","45363-9811","24","88.3","96.3","453.0","31","14.6","7.1","9.1","17.7",">95.0","<5.0","22.6","A","A","109.985","A","B","NA","NA","A","97.4","100.0","5047.42","30.90","772.47","91.7","8.3","-42251.20","5125.158655687477","27.0","27","100.0","100.0","2118799","22287","418","A"
"043703","Campbell City","280 6th St","Campbell","OH","44405-1325","14","36.2","95","1184.0","93","12.7","85.7","16.0","3.3","36.8","63.2","43.1","F","C","88.034","A","B","F","C","F","93.3","78.6","7315.19","61.01","1525.32","94.8","5.2","-703302.70","7453.286101718309","80.0","77","96.2","96.2","10693662","106895","1449","F"
"044172","Kenton City","222 W Carrol St","Kenton","OH","43326-1202","15","66.2","94.4","1935.0","129","15.0","57.1","13.8","8.0","93.6","6.4","36.6","C","B","97.661","D","D","C","C","D","94.8","90.8","4399.44","70.93","1773.37","93.7","6.3","-414971.35","4592.894958047879","120.0","119","99.2","99.2","8710368","239577","1949","B"
"045070","Whitehall City","625 S Yearling Rd","Whitehall","OH","43213-2861","9","58.6","93.5","3053.0","178","17.2","74.4","13.7","6.7","38.7","61.3","57.5","F","C","89.329","A","C","B","A","F","93.6","83.5","4924.30","250.21","6255.27","92.8","7.2","-2985993.18","5326.591304018626","198.0","180","90.9","90.9","19229302","468592","3698","D"
"046789","Berlin-Milan Local","140 Main St S","Milan","OH","44846-9735","22","75.9","95.2","1529.0","93","16.4","37.1","13.3","12.4","92.7","7.3","31.5","B","B","101.175","A","B","C","C","F","95.6","94.5","3457.37","84.28","2106.93","94.0","6.0","-246717.50","3623.6707671575705","96.0","92","95.8","95.8","5521746","125202","1558","A"
