"School IRN","School Name","Address","City","State","Postal Code","County","District IRN","District Name","Grades Served","# of students","Letter grade standards met","Letter grade performance index","Performance index score","Letter grade overall value-add","Letter grade gifted value-add","Letter grade disabled value-add","Letter grade lowest 20% value-add","Letter grade of AMO","Attendance rate","Graduation rate","Read 3rd Grade % at or above Proficient","Letter grade of four year graduation rate","% of kids in poverty","% of kids with special needs","% gifted","% white","% non-white"
"018598","Kalida Elementary School","PO Box 358","Kalida","OH","45853-0358","Putnam","049346","Kalida Local","K-5","278","A","A","108.538","A","A","NA","NA","A","97.8","NA","98.1","NA","14.7","12.6","8.6",">95.0","<5.0"
"033902","Scranton School","1991 Barber Ave","Cleveland","OH","44113-5135","Cuyahoga","043786","Cleveland Municipal City","K-8","390","F","D","78.770","A","NA","B","A","F","91.6","NA","86.7","NA",">95.0","19.7","3.6","13.3","86.7"
"110007","Cardington-Lincoln Middle School","349 Chesterville Ave","Cardington","OH","43315-9217","Morrow","048793","Cardington-Lincoln Local","7-8","176","D","C","94.845","F","D","F","D","C","95.1","NA","NA","NA","48.9","15.3","10.2",">95.0","<5.0"
"064048","Jefferson Middle School","227 N Jefferson St","Delphos","OH","45833-1648","Allen","043885","Delphos City","6-8","240","A","B","104.372","B","NA","D","D","A","96.7","NA","NA","NA","50.0","11.3","7.9","95.0","5.0"
"026682","Miller City Middle School","PO Box 38","Miller City","OH","45864-0038","Putnam","049361","Miller City-New Cleveland Local","6-8","107","A","B","106.548","F","F","NA","NA","A","98.0","NA","NA","NA","12.1","10.3","30.8",">95.0","<5.0"
"014613","Greenview Upper Elementary School","1825 S Green Rd","South Euclid","OH","44121-4211","Cuyahoga","044792","South Euclid-Lyndhurst City","4-6","761","F","C","89.703","C","F","B","C","F","95.8","NA","NA","NA","57.4","16.3","14.3","25.9","74.1"
"068577","Kenton Ridge High School","4444 Middle Urbana Rd","Springfield","OH","45503-6306","Clark","046250","Northeastern Local","9-12","718","A","B","104.178","NA","NA","NA","NA","B","95.2","NA","NA","A","20.8","8.1","16.9","88.9","11.1"
"028035","Norton Primary Elementary School","3163 Greenwich Rd","Norton","OH","44203-5744","Summit","044552","Norton City","K-4","363","A","B","106.064","C","NA","C","C","A","95.7","NA","96.7","NA","33.3","12.9","9.6","94.5","5.5"
"027532","Tuslaw Elementary School","1920 Manchester Ave NW","Massillon","OH","44647-9017","Stark","049957","Tuslaw Local","K-4","428","A","B","107.934","B","C","C","B","A","96.9","NA","93.8","NA","33.6","11.0","10.7",">95.0","<5.0"
"008722","Dover High School","520 N Walnut St","Dover","OH","44622-2852","Tuscarawas","043893","Dover City","9-12","829","A","B","106.083","NA","NA","NA","NA","A","96.0","NA","NA","A","29.4","14.5","25.9","90.8","9.2"
"026336","North Ridgeville High School","34600 Bainbridge Rd","North Ridgeville","OH","44039-4073","Lorain","044537","North Ridgeville City","9-12","1108","A","B","100.653","NA","NA","NA","NA","C","94.7","NA","NA","C","20.6","14.1","13.0","88.7","11.3"
"009120","Harrison Elementary School","2080 Quail St","Lakewood","OH","44107-5242","Cuyahoga","044198","Lakewood City","K-5","364","F","D","81.398","B","NA","B","B","F","94.5","NA","75.0","NA","83.8","9.3","7.7","51.9","48.1"
"042762","Roberts Middle School","3333 Charles St","Cuyahoga Falls","OH","44221-1248","Summit","043836","Cuyahoga Falls City","6-8","470","C","B","97.407","A","C","D","C","F","95.2","NA","NA","NA","42.3","17.2","25.1","88.1","11.9"
"000257","Alexander Elementary School","6105 School Road","Albany","OH","45710-9236","Athens","045906","Alexander Local","K-6,P","858","F","C","95.677","F","C","D","F","F","94.8","NA","82.1","NA","52.2","17.7","15.2",">95.0","<5.0"
"009128","Ridgewood Elementary School","225 W Union Ave","West","OH","43845-1150","Coshocton","046474","Ridgewood Local","K-3,P","381","F","B","96.947","NA","NA","NA","NA","F","96.0","NA","77.0","NA","64.6","15.0","14.2","95.0","5.0"
"018911","Kettering Middle School","3000 Glengarry Dr","Kettering","OH","45420-1227","Montgomery","044180","Kettering City","6-8","945","A","B","104.142","A","A","C","B","B","95.5","NA","NA","NA","48.0","15.3","14.5","84.9","15.1"
"041897","Withamsville-Tobasco Elementary School","3950 Britton Boulevard","Cincinnati","OH","45245-2131","Clermont","046359","West Clermont Local","K-5","510","A","B","100.375","B","NA","B","C","B","95.7","NA","92.7","NA","51.6","15.1","2.7","84.5","15.5"
"068379","W O Cline Elementary School","99 Virginia Ave","Centerville","OH","45458","Montgomery","043737","Centerville City","2-5","439","D","B","99.195","A","C","B","B","F","96.7","NA","94.1","NA","29.6","14.4","13.9","72.7","27.3"
"086454","Liberty Elementary School","8081 Saddle Run","Powell","OH","43065-9543","Franklin","045138","Worthington City","K-6","497","A","B","106.479","B","C","B","B","C","96.7","NA","90.0","NA","33.6","11.3","25.8","74.6","25.4"
"014100","Grandview Heights High School","1587 W 3rd Ave","Columbus","OH","43212-2825","Franklin","044073","Grandview Heights City","9-12","333","A","A","110.222","NA","NA","NA","NA","A","94.7","NA","NA","A","11.1","10.8","48.3","92.5","7.5"
"010134","New Miami Middle School","600 Seven Mile Ave","Hamilton","OH","45011-5748","Butler","046136","New Miami Local","6-8","149","F","C","86.783","F","NA","F","C","F","94.1","NA","NA","NA",">95.0","20.1","NA","88.6","11.4"
"010132","Edwards Middle School","1497 Pearl Rd","Brunswick","OH","44212-3416","Medina","043661","Brunswick City","6-8","545","A","B","102.010","F","C","B","C","F","95.6","NA","NA","NA","31.6","9.4","28.1","91.0","9.0"
"064360","Middletown Middle School","1415 Girard Ave","Middletown","OH","45044-4362","Butler","044404","Middletown City","6-8","833","F","C","84.199","A","C","D","C","F","93.7","NA","NA","NA",">95.0","20.4","15.0","62.5","37.5"
"011957","Forest Park Elementary School","5535 Sandalwood Blvd","Columbus","OH","43229-4476","Franklin","043802","Columbus City","K-5","500","F","D","73.669","B","NA","B","B","F","94.6","NA","62.7","NA","78.4","10.2","6.2","16.8","83.2"
"023390","St. Marys Middle School","2250 St. Rt. 66 N","Saint Marys","OH","45885-2508","Auglaize","044727","St Marys City","6-8","476","B","B","102.549","A","A","C","C","C","96.0","NA","NA","NA","51.7","17.0","9.0",">95.0","<5.0"
"032391","Hubbard  Elementary School","150 Hall Ave","Hubbard","OH","44425-2075","Trumbull","045427","Hubbard Exempted Village","K-4","690","A","B","104.686","A","F","C","B","B","95.2","NA","92.1","NA","41.4","14.5","6.2","91.9","8.1"
"023549","Mcgregor Elementary School","3535 Mcgregor Ln","Toledo","OH","43623-1814","Lucas","048231","Washington Local","K-6","406","A","B","102.792","A","C","NA","B","B","97.1","NA","85.0","NA","50.2","8.4","16.0","76.8","23.2"
"012609","Fort Island Primary Elementary School","496 Trunko Rd","Fairlawn","OH","44333-3274","Summit","049981","Copley-Fairlawn City","K-4","336","A","A","108.725","A","C","NA","A","A","96.7","NA","93.9","NA","14.0","6.0","19.9","74.1","25.9"
"011551","Field High School","2900 State Route 43","Mogadore","OH","44260-9715","Portage","049197","Field Local","9-12","631","A","B","99.827","NA","NA","NA","NA","A","94.5","NA","NA","A","7.0","15.8","26.3","94.8","5.2"
"010769","Eastern High School","PO Box 49","Sardinia","OH","45171-0049","Brown","046037","Eastern Local","9-12","371","A","B","101.652","NA","NA","NA","NA","A","94.5","NA","NA","C","39.6","15.6","4.9",">95.0","<5.0"
"018283","Licking Heights West","1490 Climbing Fig Dr.","Blacklick","OH","43004","Licking","048009","Licking Heights Local","K-2","801","NA","NA","NA","NA","NA","NA","NA","NA","95.4","NA","NA","NA","37.6","8.6","6.4","61.3","38.7"
"034728","Smith Elementary School","941 Chester Ave","Akron","OH","44314-2768","Summit","043489","Akron City","K-5","119","F","D","71.128","F","NA","NA","D","F","92.5","NA","66.7","NA",">95.0","18.5","NA","51.3","48.7"
"023093","Maryland Elementary School","2754 Maryland Ave","Bexley","OH","43209-1067","Franklin","043620","Bexley City","K-6","334","C","B","103.886","A","A","C","B","A","96.3","NA","95.7","NA","15.0","10.8","26.6","83.2","16.8"
"021857","John P Parker Elementary School","5051 Anderson Pl","Cincinnati","OH","45227-1601","Hamilton","043752","Cincinnati City","K-6,P","250","F","C","90.573","B","NA","D","C","D","96.3","NA","78.3","NA","89.2","29.6","NA","7.2","92.8"
"012971","Garfield Elementary School","1600 Lincoln Ave","Wellsville","OH","43968-1247","Columbiana","045039","Wellsville Local","K-3,P","247","A","B","103.145","NA","NA","NA","NA","A","95.5","NA","88.7","NA",">95.0","17.4","NA","87.0","13.0"
"005371","Central Elementary School","145 Ray Ave NW","New Philadelphia","OH","44663-2629","Tuscarawas","044487","New Philadelphia City","K-5","319","C","B","102.062","D","B","NA","D","B","95.2","NA","95.3","NA","50.8","8.5","23.8","79.0","21.0"
"011395","Valley View Intermediate School","64 Comstock St","Germantown","OH","45327-1004","Montgomery","048744","Valley View Local","P,4-6","418","C","B","101.051","A","A","A","A","B","95.5","NA","NA","NA","26.3","15.6","30.6",">95.0","<5.0"
"029876","Pickerington High School Central","300 Opportunity Way","Pickerington","OH","43147-1296","Fairfield","046896","Pickerington Local","9-12","1566","A","B","103.719","NA","NA","NA","NA","B","94.2","NA","NA","A","24.4","14.8","31.3","61.6","38.4"
