"District IRN","District Name","School IRN","School Name","Transfer"
"00000 ","District not identified","000236","Ohio Connections Academy, Cuyahoga - (E School)","7839.52"
"00000 ","District not identified","012054","North Central Academy, Seneca","1412.79"
"00000 ","District not identified","012867","Townsend North Community Sch, Erie","32637.25"
"00000 ","District not identified","133413","Electronic Classrm Of Tomorrow, Franklin - (E School)","20735.38"
"00000 ","District not identified","142950","Ohio Virtual Academy, Lucas - (E School)","5745.00"
"000442","Manchester Local SD","000236","Ohio Connections Academy, Cuyahoga - (E School)","15735.69"
"000442","Manchester Local SD","013233","Southern Ohio Academy, Scioto","5745.00"
"000442","Manchester Local SD","133413","Electronic Classrm Of Tomorrow, Franklin - (E School)","95366.81"
"000442","Manchester Local SD","142950","Ohio Virtual Academy, Lucas - (E School)","40100.10"
"000442","Manchester Local SD","143305","Treca Digital Academy, Marion - (E School)","11490.00"
"000442","Manchester Local SD","143396","Alternative Education Academy, Lucas - (E School)","5515.20"
"000442","Manchester Local SD","143537","Virtual Community Sch Of Ohio, Franklin - (E School)","8043.00"
"043489","Akron City SD","000236","Ohio Connections Academy, Cuyahoga - (E School)","275849.40"
"043489","Akron City SD","000241","QDA, Tuscarawas - (E School)","3217.20"
"043489","Akron City SD","000298","Summit Academy Second Akron, Summit","1234960.46"
"043489","Akron City SD","000300","Summit Academy Second Canton, Stark","836.07"
"043489","Akron City SD","000303","Summit Academy Sec Youngstown, Mahoning","12579.27"
"043489","Akron City SD","000318","Menlo Park Academy, Cuyahoga","1906.68"
"043489","Akron City SD","000417","Buckeye On-Line School, Columbiana - (E School)","55345.65"
"043489","Akron City SD","000525","Canton Harbor HS, Stark","9790.23"
"043489","Akron City SD","000541","Constellation: Outreach, Cuyahoga","52803.04"
"043489","Akron City SD","000564","Virtual Schoolhouse, Inc., Cuyahoga","16651.57"
"043489","Akron City SD","000623","Summit Academy-Youngstown, Mahoning","31374.26"
"043489","Akron City SD","000936","Promise Academy, Cuyahoga","2229.52"
"043489","Akron City SD","007995","Cleveland Art & Social Science, Cuyahoga","10780.26"
"043489","Akron City SD","008063","Life Skills Center of North Ak, Summit","798175.80"
"043489","Akron City SD","011381","GSCELC, Summit","311526.14"
"043489","Akron City SD","011487","Falcon Academy of Creative Art, Portage","33091.11"
"043489","Akron City SD","011947","Imagine Akron Academy, Summit","541172.11"
"043489","Akron City SD","012060","Akros Middle School, Summit","957422.72"
"043489","Akron City SD","012627","STEAM Academy of Akron, Summit","809430.63"
"043489","Akron City SD","013164","Believe to Achieve-Canton, Stark","15437.52"
"043489","Akron City SD","013199","Nexus Academy of  Cleveland, Cuyahoga","3385.56"
"043489","Akron City SD","013226","Life Skills HS Cleveland, Cuyahoga","3806.28"
"043489","Akron City SD","013254","Akron Preparatory School, Summit","1680626.40"
"043489","Akron City SD","014060","Brown Street Academy, Summit","1055675.53"
"043489","Akron City SD","014063","University Acad, Summit","992099.92"
"043489","Akron City SD","014066","Main St. Prep. Academy, Summit","340163.87"
"043489","Akron City SD","014081","Insight School of Ohio, Franklin - (E School)","63769.50"
"043489","Akron City SD","014121","Imagine Leadership Academy, Summit","1847852.79"
"043489","Akron City SD","014130","Next Frontier Academy, Summit","243475.47"
"043489","Akron City SD","014136","Mosaica Online of Ohio, Franklin - (E School)","10972.95"
"043489","Akron City SD","014148","Provost Academy Ohio, Franklin - (E School)","11432.55"
"043489","Akron City SD","132779","Summit Academy Akron M S, Summit","768878.90"
"043489","Akron City SD","133306","Summit Academy Altern Canton, Stark","4043.49"
"043489","Akron City SD","133413","Electronic Classrm Of Tomorrow, Franklin - (E School)","1586196.92"
"043489","Akron City SD","133538","Edge Academy, The, Summit","1876236.41"
"043489","Akron City SD","133587","Summit Academy Akron Elem, Summit","1786184.26"
"043489","Akron City SD","133801","Life Skills Ctr Of Youngstown, Mahoning","2590.20"
"043489","Akron City SD","133835","Invictus High School, Cuyahoga","2717.23"
"043489","Akron City SD","133868","Towpath Trail High School, Summit","2104779.27"
"043489","Akron City SD","134213","Middlebury Academy, Summit","2099943.52"
"043489","Akron City SD","134221","Colonial Prep Academy, Summit","1214264.20"
"043489","Akron City SD","142901","Life Skills Center of  Canton, Stark","7289.87"
"043489","Akron City SD","142950","Ohio Virtual Academy, Lucas - (E School)","1646851.68"
"043489","Akron City SD","143305","Treca Digital Academy, Marion - (E School)","112114.50"
"043489","Akron City SD","143396","Alternative Education Academy, Lucas - (E School)","1004838.95"
"043489","Akron City SD","143537","Virtual Community Sch Of Ohio, Franklin - (E School)","29722.95"
"043489","Akron City SD","147231","Schnee, Summit","191042.98"
"043489","Akron City SD","148999","Mahoning Unlimited Classroom, Mahoning - (E School)","2929.95"
"043489","Akron City SD","149054","Akron Digital Academy, Summit - (E School)","2555262.61"
"043489","Akron City SD","149427","Massillon Digital Academy, Inc, Stark - (E School)","9558.00"
"043489","Akron City SD","151191","Life Skills Ctr Of Summit Co, Summit","593142.82"
"043497","Alliance City SD","000236","Ohio Connections Academy, Cuyahoga - (E School)","28976.10"
"043497","Alliance City SD","000282","Greater Ohio Virtual School, Warren - (E School)","2585.25"
"043497","Alliance City SD","000300","Summit Academy Second Canton, Stark","64728.00"
"043497","Alliance City SD","000303","Summit Academy Sec Youngstown, Mahoning","2218.15"
"043497","Alliance City SD","000417","Buckeye On-Line School, Columbiana - (E School)","27310.05"
"043497","Alliance City SD","000525","Canton Harbor HS, Stark","6923.90"
"043497","Alliance City SD","000623","Summit Academy-Youngstown, Mahoning","19057.59"
"043497","Alliance City SD","013164","Believe to Achieve-Canton, Stark","10496.96"
"043497","Alliance City SD","014081","Insight School of Ohio, Franklin - (E School)","13869.30"
"043497","Alliance City SD","133413","Electronic Classrm Of Tomorrow, Franklin - (E School)","358120.41"
"043497","Alliance City SD","142901","Life Skills Center of  Canton, Stark","8391.14"
"043497","Alliance City SD","142950","Ohio Virtual Academy, Lucas - (E School)","164134.92"
"043497","Alliance City SD","143305","Treca Digital Academy, Marion - (E School)","13385.85"
"043497","Alliance City SD","143396","Alternative Education Academy, Lucas - (E School)","129346.92"
"043497","Alliance City SD","143537","Virtual Community Sch Of Ohio, Franklin - (E School)","11490.00"
"043497","Alliance City SD","148999","Mahoning Unlimited Classroom, Mahoning - (E School)","2642.70"
"043505","Ashland City SD","000236","Ohio Connections Academy, Cuyahoga - (E School)","56186.10"
"043505","Ashland City SD","000417","Buckeye On-Line School, Columbiana - (E School)","9019.65"
"043505","Ashland City SD","009909","Mansfield Community Middle, Richland","9880.55"
"043505","Ashland City SD","009971","Ashland County Community Acade, Ashland","580529.67"
"043505","Ashland City SD","011967","RASE, Richland","57776.95"
"043505","Ashland City SD","011972","GEMS, Franklin","5946.20"
"043505","Ashland City SD","013962","Liberty Prep School, Wayne","1046.95"
"043505","Ashland City SD","014081","Insight School of Ohio, Franklin - (E School)","12433.05"
"043505","Ashland City SD","133306","Summit Academy Altern Canton, Stark","4051.03"
"043505","Ashland City SD","133413","Electronic Classrm Of Tomorrow, Franklin - (E School)","157406.82"
"043505","Ashland City SD","142950","Ohio Virtual Academy, Lucas - (E School)","211191.72"
"043505","Ashland City SD","143305","Treca Digital Academy, Marion - (E School)","33815.61"
"043505","Ashland City SD","143396","Alternative Education Academy, Lucas - (E School)","25278.00"
"043505","Ashland City SD","143537","Virtual Community Sch Of Ohio, Franklin - (E School)","9421.80"
"043505","Ashland City SD","149047","Goal Digital Academy, Morrow - (E School)","10894.65"
"043513","Ashtabula Area City SD","000236","Ohio Connections Academy, Cuyahoga - (E School)","45730.20"
"043513","Ashtabula Area City SD","000241","QDA, Tuscarawas - (E School)","5745.00"
"043513","Ashtabula Area City SD","000300","Summit Academy Second Canton, Stark","10031.45"
"043513","Ashtabula Area City SD","000303","Summit Academy Sec Youngstown, Mahoning","75864.20"
"043513","Ashtabula Area City SD","000417","Buckeye On-Line School, Columbiana - (E School)","76456.59"
"043513","Ashtabula Area City SD","000623","Summit Academy-Youngstown, Mahoning","17887.29"
"043513","Ashtabula Area City SD","014081","Insight School of Ohio, Franklin - (E School)","2355.45"
"043513","Ashtabula Area City SD","133413","Electronic Classrm Of Tomorrow, Franklin - (E School)","329336.43"
"043513","Ashtabula Area City SD","142950","Ohio Virtual Academy, Lucas - (E School)","335773.57"
"043513","Ashtabula Area City SD","143305","Treca Digital Academy, Marion - (E School)","10880.65"
"043513","Ashtabula Area City SD","143396","Alternative Education Academy, Lucas - (E School)","32426.16"
"043513","Ashtabula Area City SD","148999","Mahoning Unlimited Classroom, Mahoning - (E School)","12303.42"
"043521","Athens City SD","000236","Ohio Connections Academy, Cuyahoga - (E School)","27805.80"
"043521","Athens City SD","000417","Buckeye On-Line School, Columbiana - (E School)","70016.70"
"043521","Athens City SD","014094","Lawrence County Academy, Lawrence","14401.34"
"043521","Athens City SD","014148","Provost Academy Ohio, Franklin - (E School)","861.75"
"043521","Athens City SD","133413","Electronic Classrm Of Tomorrow, Franklin - (E School)","199072.32"
"043521","Athens City SD","142950","Ohio Virtual Academy, Lucas - (E School)","200878.10"
"043521","Athens City SD","143305","Treca Digital Academy, Marion - (E School)","14419.95"
"043521","Athens City SD","143396","Alternative Education Academy, Lucas - (E School)","18743.88"
"043521","Athens City SD","149328","Foxfire High School, Muskingum","5945.09"
"043539","Barberton City SD","000236","Ohio Connections Academy, Cuyahoga - (E School)","22541.70"
"043539","Barberton City SD","000241","QDA, Tuscarawas - (E School)","402.15"
"043539","Barberton City SD","000298","Summit Academy Second Akron, Summit","31280.07"
"043539","Barberton City SD","000303","Summit Academy Sec Youngstown, Mahoning","3502.37"
"043539","Barberton City SD","000417","Buckeye On-Line School, Columbiana - (E School)","30678.30"
"043539","Barberton City SD","008063","Life Skills Center of North Ak, Summit","22331.40"
"043539","Barberton City SD","011381","GSCELC, Summit","12353.14"
"043539","Barberton City SD","011511","Lakeland Academy Com Sch, Harrison","2266.92"
"043539","Barberton City SD","011947","Imagine Akron Academy, Summit","10181.39"
"043539","Barberton City SD","014063","University Acad, Summit","8345.37"
"043539","Barberton City SD","014081","Insight School of Ohio, Franklin - (E School)","8272.80"
"043539","Barberton City SD","014121","Imagine Leadership Academy, Summit","16913.12"
"043539","Barberton City SD","014148","Provost Academy Ohio, Franklin - (E School)","5572.65"
"043539","Barberton City SD","133413","Electronic Classrm Of Tomorrow, Franklin - (E School)","247319.52"
"043539","Barberton City SD","133538","Edge Academy, The, Summit","28262.57"
"043539","Barberton City SD","133587","Summit Academy Akron Elem, Summit","31559.33"
"043539","Barberton City SD","133868","Towpath Trail High School, Summit","33088.59"
"043539","Barberton City SD","142950","Ohio Virtual Academy, Lucas - (E School)","164147.58"
"043539","Barberton City SD","143305","Treca Digital Academy, Marion - (E School)","3964.05"
"043539","Barberton City SD","143396","Alternative Education Academy, Lucas - (E School)","98465.67"
"043539","Barberton City SD","148999","Mahoning Unlimited Classroom, Mahoning - (E School)","3536.46"
"043539","Barberton City SD","149054","Akron Digital Academy, Summit - (E School)","42952.01"
"043539","Barberton City SD","151191","Life Skills Ctr Of Summit Co, Summit","148163.95"
"043547","Bay Village City SD","000236","Ohio Connections Academy, Cuyahoga - (E School)","5745.00"
"043547","Bay Village City SD","000302","Summit Academy Community Schoo, Cuyahoga","38945.36"
"043547","Bay Village City SD","000318","Menlo Park Academy, Cuyahoga","21856.22"
"043547","Bay Village City SD","133413","Electronic Classrm Of Tomorrow, Franklin - (E School)","49727.03"
"043547","Bay Village City SD","142950","Ohio Virtual Academy, Lucas - (E School)","10800.60"
"043547","Bay Village City SD","143396","Alternative Education Academy, Lucas - (E School)","23116.20"
"043554","Beachwood City SD","000541","Constellation: Outreach, Cuyahoga","22302.00"
"043554","Beachwood City SD","000564","Virtual Schoolhouse, Inc., Cuyahoga","23818.33"
"043554","Beachwood City SD","013132","Lake Erie College Prep School, Cuyahoga","5371.77"
"043554","Beachwood City SD","133413","Electronic Classrm Of Tomorrow, Franklin - (E School)","2355.45"
"043554","Beachwood City SD","142950","Ohio Virtual Academy, Lucas - (E School)","11030.40"
"043554","Beachwood City SD","143396","Alternative Education Academy, Lucas - (E School)","1911.60"
"043562","Bedford City SD","000236","Ohio Connections Academy, Cuyahoga - (E School)","52367.37"
"043562","Bedford City SD","000303","Summit Academy Sec Youngstown, Mahoning","1823.54"
"043562","Bedford City SD","000417","Buckeye On-Line School, Columbiana - (E School)","45092.46"
