"District IRN","District Name","Street Address","City","State","Postal Code","Avg Grade","Letter grade performance index","Charter Transfer","% Spent in Classroom","Avg Teacher Experience","Community School Transfer"
"046524","Wynford Local","3288 Holmes Center Rd","Bucyrus","OH","44820-9463","D+","B","250020.92","92.9","15","-313625.90"
"049957","Tuslaw Local","1835 Manchester Ave NW","Massillon","OH","44647-9623","B","B","156558.94","94.0","17","-203837.12"
"048132","Clearview Local","4700 Broadway","Lorain","OH","44052-5542","B-","C","609377.99","92.7","10","-582408.16"
"048421","Pleasant Local","1107 Owens Rd W","Marion","OH","43302-8421","B-","B","563108.04","93.0","13","-727549.78"
"049791","Hardin-Houston Local","5300 Houston Rd","Houston","OH","45333-8630","C+","B","105824.25","92.9","23","-70282.65"
"044487","New Philadelphia City","248 Front Ave SW","New Philadelphia","OH","44663-2150","C","B","932633.17","92.9","13","-899402.23"
"048041","Southwest Licking Local","927-A South Street","Pataskala","OH","43062","B","B","1092124.27","93.7","14","-1214852.19"
"049817","Russia Local","100 School St","Russia","OH","45363-9811","A","A","29063.67","91.7","24","-42251.20"
"043703","Campbell City","280 6th St","Campbell","OH","44405-1325","C-","C","660394.12","94.8","14","-703302.70"
"044172","Kenton City","222 W Carrol St","Kenton","OH","43326-1202","C","B","407048.58","93.7","15","-414971.35"
"045070","Whitehall City","625 S Yearling Rd","Whitehall","OH","43213-2861","C+","C","2692369.62","92.8","9","-2985993.18"
"044875","Sylvania City","4747 N Holland Sylvania Rd","Sylvania","OH","43560-2116","A","B","1528189.08","93.1","13","-1859333.96"
"044073","Grandview Heights City","1587 W 3rd Ave","Columbus","OH","43212-2825","A-","A","102959.20","93.1","14","-104183.12"
"050625","Edon-Northwest Local","802 W Indiana St","Edon","OH","43518-9627","C+","B","51435.34","91.4","17","-82297.02"
"048819","Northmor Local","5247 County Road 29","Galion","OH","44833-9742","C-","B","325559.16","92.4","13","-317274.76"
"045674","Yellow Springs Exempted Village","201 S Walnut St","Yellow Springs","OH","45387-1805","B-","B","133960.00","91.9","15","-59508.95"
"045856","Buckeye Local","3436 Edgewood Dr","Ashtabula","OH","44004-5967","B-","B","274141.72","94.1","12","-249561.34"
